! Freq(MHz)     Int(K)
105813.3342       0.00 
105813.5782       0.00 
105813.8222       0.00 
105814.0662       0.00 
105814.3102       0.00 
105814.5542       0.00 
105814.7982       0.00 
105815.0422       0.00 
105815.2862       0.00 
105815.5302       0.00 
105815.7742       0.00 
105816.0182       0.00 
105816.2622       0.00 
105816.5062       0.00 
105816.7502       0.00 
105816.9942       0.00 
105817.2382       0.00 
105817.4822       0.00 
105817.7262       0.00 
105817.9702       0.00 
105818.2142       0.00 
105818.4582       0.00 
105818.7022       0.00 
105818.9462       0.00 
105819.1902       0.00 
105819.4342       0.00 
105819.6782       0.00 
105819.9222       0.00 
105820.1662       0.00 
105820.4102       0.00 
105820.6542       0.00 
105820.8982       0.00 
105821.1422       0.00 
105821.3862       0.00 
105821.6302       0.00 
105821.8742       0.00 
105822.1182       0.00 
105822.3622       0.00 
105822.6062       0.00 
105822.8502       0.00 
105823.0942       0.00 
105823.3382       0.00 
105823.5822       0.00 
105823.8262       0.00 
105824.0702       0.00 
105824.3142       0.00 
105824.5582       0.00 
105824.8022       0.00 
105825.0462       0.00 
105825.2902       0.00 
105825.5342       0.00 
105825.7782       0.00 
105826.0222       0.00 
105826.2662       0.00 
105826.5102       0.00 
105826.7542       0.00 
105826.9982       0.00 
105827.2422       0.00 
105827.4862       0.00 
105827.7302       0.00 
105827.9742       0.00 
105828.2182       0.00 
105828.4622       0.00 
105828.7062       0.00 
105828.9502       0.00 
105829.1942       0.00 
105829.4382       0.00 
105829.6822       0.00 
105829.9262       0.00 
105830.1702       0.00 
105830.4142       0.00 
105830.6582       0.00 
105830.9022       0.00 
105831.1462       0.00 
105831.3902       0.00 
105831.6342       0.00 
105831.8782       0.00 
105832.1222       0.00 
105832.3662       0.00 
105832.6102       0.00 
105832.8542       0.00 
105833.0982       0.00 
105833.3422       0.00 
105833.5862       0.00 
105833.8302       0.00 
105834.0742       0.00 
105834.3182       0.00 
105834.5622       0.00 
105834.8062       0.00 
105835.0502       0.00 
105835.2942       0.00 
105835.5382       0.00 
105835.7822       0.00 
105836.0262       0.00 
105836.2702       0.00 
105836.5142       0.00 
105836.7582       0.00 
105837.0022       0.00 
105837.2462       0.00 
105837.4902       0.00 
105837.7342       0.00 
105837.9782       0.00 
105838.2222       0.00 
105838.4662       0.00 
105838.7102       0.00 
105838.9542       0.00 
105839.1982       0.00 
105839.4422       0.00 
105839.6862       0.00 
105839.9302       0.00 
105840.1742       0.00 
105840.4182       0.00 
105840.6622       0.00 
105840.9062       0.00 
105841.1502       0.00 
105841.3942       0.00 
105841.6382       0.00 
105841.8822       0.00 
105842.1262       0.00 
105842.3702       0.00 
105842.6142       0.00 
105842.8582       0.00 
105843.1022       0.00 
105843.3462       0.00 
105843.5902       0.00 
105843.8342       0.00 
105844.0782       0.00 
105844.3222       0.00 
105844.5662       0.00 
105844.8102       0.00 
105845.0542       0.00 
105845.2982       0.00 
105845.5422       0.00 
105845.7862       0.00 
105846.0302       0.00 
105846.2742       0.00 
105846.5182       0.00 
105846.7622       0.00 
105847.0062       0.00 
105847.2502       0.00 
105847.4942       0.00 
105847.7382       0.00 
105847.9822       0.00 
105848.2262       0.00 
105848.4702       0.00 
105848.7142       0.00 
105848.9582       0.00 
105849.2022       0.00 
105849.4462       0.00 
105849.6902       0.00 
105849.9342       0.00 
105850.1782       0.00 
105850.4222       0.00 
105850.6662       0.00 
105850.9102       0.00 
105851.1542       0.00 
105851.3982       0.00 
105851.6422       0.00 
105851.8862       0.00 
105852.1302       0.00 
105852.3742       0.00 
105852.6182       0.00 
105852.8622       0.00 
105853.1062       0.00 
105853.3502       0.00 
105853.5942       0.00 
105853.8382       0.00 
105854.0822       0.00 
105854.3262       0.00 
105854.5702       0.00 
105854.8142       0.00 
105855.0582       0.00 
105855.3022       0.00 
105855.5462       0.00 
105855.7902       0.00 
105856.0342       0.00 
105856.2782       0.00 
105856.5222       0.00 
105856.7662       0.00 
105857.0102       0.00 
105857.2542       0.00 
105857.4982       0.00 
105857.7422       0.00 
105857.9862       0.00 
105858.2302       0.00 
105858.4742       0.00 
105858.7182       0.00 
105858.9622       0.00 
105859.2062       0.00 
105859.4502       0.00 
105859.6942       0.00 
105859.9382       0.00 
105860.1822       0.00 
105860.4262       0.00 
105860.6702       0.00 
105860.9142       0.00 
105861.1582       0.00 
105861.4022       0.00 
105861.6462       0.00 
105861.8902       0.00 
105862.1342       0.00 
105862.3782       0.00 
105862.6222       0.00 
105862.8662       0.00 
105863.1102       0.00 
105863.3542       0.00 
105863.5982       0.00 
105863.8422       0.00 
105864.0862       0.00 
105864.3302       0.00 
105864.5742       0.00 
105864.8182       0.00 
105865.0622       0.00 
105865.3062       0.00 
105865.5502       0.00 
105865.7942       0.00 
105866.0382       0.00 
105866.2822       0.00 
105866.5262       0.00 
105866.7702       0.00 
105867.0142       0.00 
105867.2582       0.00 
105867.5022       0.00 
105867.7462       0.00 
105867.9902       0.00 
105868.2342       0.00 
105868.4782       0.00 
105868.7222       0.00 
105868.9662       0.00 
105869.2102       0.00 
105869.4542       0.00 
105869.6982       0.00 
105869.9422       0.00 
105870.1862       0.00 
105870.4302       0.00 
105870.6742       0.00 
105870.9182       0.00 
105871.1622       0.00 
105871.4062       0.00 
105871.6502       0.00 
105871.8942       0.00 
105872.1382       0.00 
105872.3822       0.00 
105872.6262       0.00 
105872.8702       0.00 
105873.1142       0.00 
105873.3582       0.00 
105873.6022       0.00 
105873.8462       0.00 
105874.0902       0.00 
105874.3342       0.00 
105874.5782       0.00 
105874.8222       0.00 
105875.0662       0.00 
105875.3102       0.00 
105875.5542       0.00 
105875.7982       0.00 
105876.0422       0.00 
105876.2862       0.00 
105876.5302       0.00 
105876.7742       0.00 
105877.0182       0.00 
105877.2622       0.00 
105877.5062       0.00 
105877.7502       0.00 
