! Freq(MHz)     Int(K)
110922.6927       0.00 
110922.9367       0.00 
110923.1807       0.00 
110923.4247       0.00 
110923.6687       0.00 
110923.9127       0.00 
110924.1567       0.00 
110924.4007       0.00 
110924.6447       0.00 
110924.8887       0.00 
110925.1327       0.00 
110925.3767       0.00 
110925.6207       0.00 
110925.8647       0.00 
110926.1087       0.00 
110926.3527       0.00 
110926.5967       0.00 
110926.8407       0.00 
110927.0847       0.00 
110927.3287       0.00 
110927.5727       0.00 
110927.8167       0.00 
110928.0607       0.00 
110928.3047       0.00 
110928.5487       0.00 
110928.7927       0.00 
110929.0367       0.00 
110929.2807       0.00 
110929.5247       0.00 
110929.7687       0.00 
110930.0127       0.00 
110930.2567       0.00 
110930.5007       0.00 
110930.7447       0.00 
110930.9887       0.00 
110931.2327       0.00 
110931.4767       0.00 
110931.7207       0.00 
110931.9647       0.00 
110932.2087       0.00 
110932.4527       0.00 
110932.6967       0.00 
110932.9407       0.00 
110933.1847       0.00 
110933.4287       0.00 
110933.6727       0.00 
110933.9167       0.00 
110934.1607       0.00 
110934.4047       0.00 
110934.6487       0.00 
110934.8927       0.00 
110935.1367       0.00 
110935.3807       0.00 
110935.6247       0.00 
110935.8687       0.00 
110936.1127       0.00 
110936.3567       0.00 
110936.6007       0.00 
110936.8447       0.00 
110937.0887       0.00 
110937.3327       0.00 
110937.5767       0.00 
110937.8207       0.00 
110938.0647       0.00 
110938.3087       0.00 
110938.5527       0.00 
110938.7967       0.00 
110939.0407       0.00 
110939.2847       0.00 
110939.5287       0.00 
110939.7727       0.00 
110940.0167       0.00 
110940.2607       0.00 
110940.5047       0.00 
110940.7487       0.00 
110940.9927       0.00 
110941.2367       0.00 
110941.4807       0.00 
110941.7247       0.00 
110941.9687       0.00 
110942.2127       0.00 
110942.4567       0.00 
110942.7007       0.00 
110942.9447       0.00 
110943.1887       0.00 
110943.4327       0.00 
110943.6767       0.00 
110943.9207       0.00 
110944.1647       0.00 
110944.4087       0.00 
110944.6527       0.00 
110944.8967       0.00 
110945.1407       0.00 
110945.3847       0.00 
110945.6287       0.00 
110945.8727       0.00 
110946.1167       0.00 
110946.3607       0.00 
110946.6047       0.00 
110946.8487       0.00 
110947.0927       0.00 
110947.3367       0.00 
110947.5807       0.00 
110947.8247       0.00 
110948.0687       0.00 
110948.3127       0.00 
110948.5567       0.00 
110948.8007       0.00 
110949.0447       0.00 
110949.2887       0.00 
110949.5327       0.00 
110949.7767       0.00 
110950.0207       0.00 
110950.2647       0.00 
110950.5087       0.00 
110950.7527       0.00 
110950.9967       0.00 
110951.2407       0.00 
110951.4847       0.00 
110951.7287       0.00 
110951.9727       0.00 
110952.2167       0.00 
110952.4607       0.00 
110952.7047       0.00 
110952.9487       0.00 
110953.1927       0.00 
110953.4367       0.00 
110953.6807       0.00 
110953.9247       0.00 
110954.1687       0.00 
110954.4127       0.00 
110954.6567       0.00 
110954.9007       0.00 
110955.1447       0.00 
110955.3887       0.00 
110955.6327       0.00 
110955.8767       0.00 
110956.1207       0.00 
110956.3647       0.00 
110956.6087       0.00 
110956.8527       0.00 
110957.0967       0.00 
110957.3407       0.00 
110957.5847       0.00 
110957.8287       0.00 
110958.0727       0.00 
110958.3167       0.00 
110958.5607       0.00 
110958.8047       0.00 
110959.0487       0.00 
110959.2927       0.00 
110959.5367       0.00 
110959.7807       0.00 
110960.0247       0.00 
110960.2687       0.00 
110960.5127       0.00 
110960.7567       0.00 
110961.0007       0.00 
110961.2447       0.00 
110961.4887       0.00 
110961.7327       0.00 
110961.9767       0.00 
110962.2207       0.00 
110962.4647       0.00 
110962.7087       0.00 
110962.9527       0.00 
110963.1967       0.00 
110963.4407       0.00 
110963.6847       0.00 
110963.9287       0.00 
110964.1727       0.00 
110964.4167       0.00 
110964.6607       0.00 
110964.9047       0.00 
110965.1487       0.00 
110965.3927       0.00 
110965.6367       0.00 
110965.8807       0.00 
110966.1247       0.00 
110966.3687       0.00 
110966.6127       0.00 
110966.8567       0.00 
110967.1007       0.00 
110967.3447       0.00 
110967.5887       0.00 
110967.8327       0.00 
110968.0767       0.00 
110968.3207       0.00 
110968.5647       0.00 
110968.8087       0.00 
110969.0527       0.00 
110969.2967       0.00 
110969.5407       0.00 
110969.7847       0.00 
110970.0287       0.00 
110970.2727       0.00 
110970.5167       0.00 
110970.7607       0.00 
110971.0047       0.00 
110971.2487       0.00 
110971.4927       0.00 
110971.7367       0.00 
110971.9807       0.00 
110972.2247       0.00 
110972.4687       0.00 
110972.7127       0.00 
110972.9567       0.00 
110973.2007       0.00 
110973.4447       0.00 
110973.6887       0.00 
110973.9327       0.00 
110974.1767       0.00 
110974.4207       0.00 
110974.6647       0.00 
110974.9087       0.00 
110975.1527       0.00 
110975.3967       0.00 
110975.6407       0.00 
110975.8847       0.00 
110976.1287       0.00 
110976.3727       0.00 
110976.6167       0.00 
110976.8607       0.00 
110977.1047       0.00 
110977.3487       0.00 
110977.5927       0.00 
110977.8367       0.00 
110978.0807       0.00 
110978.3247       0.00 
110978.5687       0.00 
110978.8127       0.00 
110979.0567       0.00 
110979.3007       0.00 
110979.5447       0.00 
110979.7887       0.00 
110980.0327       0.00 
110980.2767       0.00 
110980.5207       0.00 
110980.7647       0.00 
110981.0087       0.00 
110981.2527       0.00 
110981.4967       0.00 
110981.7407       0.00 
110981.9847       0.00 
110982.2287       0.00 
110982.4727       0.00 
110982.7167       0.00 
110982.9607       0.00 
110983.2047       0.00 
110983.4487       0.00 
110983.6927       0.00 
110983.9367       0.00 
110984.1807       0.00 
110984.4247       0.00 
110984.6687       0.00 
110984.9127       0.00 
110985.1567       0.00 
110985.4007       0.00 
110985.6447       0.00 
110985.8887       0.00 
110986.1327       0.00 
110986.3767       0.00 
110986.6207       0.00 
110986.8647       0.00 
110987.1087       0.00 
110987.3527       0.00 
110987.5967       0.00 
110987.8407       0.00 
110988.0847       0.00 
110988.3287       0.00 
110988.5727       0.00 
110988.8167       0.00 
110989.0607       0.00 
110989.3047       0.00 
110989.5487       0.00 
110989.7927       0.00 
110990.0367       0.00 
110990.2807       0.00 
110990.5247       0.00 
110990.7687       0.00 
110991.0127       0.00 
110991.2567       0.00 
110991.5007       0.00 
110991.7447       0.00 
110991.9887       0.00 
110992.2327       0.00 
110992.4767       0.00 
110992.7207       0.00 
110992.9647       0.00 
110993.2087       0.00 
110993.4527       0.00 
110993.6967       0.00 
110993.9407       0.00 
110994.1847       0.00 
110994.4287       0.00 
110994.6727       0.00 
110994.9167       0.00 
110995.1607       0.00 
110995.4047       0.00 
110995.6487       0.00 
110995.8927       0.00 
110996.1367       0.00 
110996.3807       0.00 
110996.6247       0.00 
110996.8687       0.00 
110997.1127       0.00 
110997.3567       0.00 
110997.6007       0.00 
110997.8447       0.00 
110998.0887       0.00 
110998.3327       0.00 
110998.5767       0.00 
110998.8207       0.00 
110999.0647       0.00 
110999.3087       0.00 
110999.5527       0.00 
110999.7967       0.00 
111000.0407       0.00 
111000.2847       0.00 
111000.5287       0.00 
111000.7727       0.00 
111001.0167       0.00 
111001.2607       0.00 
111001.5047       0.00 
111001.7487       0.00 
111001.9927       0.00 
111002.2367       0.00 
111002.4807       0.00 
111002.7247       0.00 
111002.9687       0.00 
111003.2127       0.00 
111003.4567       0.00 
111003.7007       0.00 
111003.9447       0.00 
111004.1887       0.00 
111004.4327       0.00 
111004.6767       0.00 
111004.9207       0.00 
111005.1647       0.00 
111005.4087       0.00 
111005.6527       0.00 
111005.8967       0.00 
111006.1407       0.00 
111006.3847       0.00 
111006.6287       0.00 
111006.8727       0.00 
111007.1167       0.00 
111007.3607       0.00 
111007.6047       0.00 
111007.8487       0.00 
111008.0927       0.00 
111008.3367       0.00 
111008.5807       0.00 
111008.8247       0.00 
111009.0687       0.00 
111009.3127       0.00 
111009.5567       0.00 
111009.8007       0.00 
111010.0447       0.00 
111010.2887       0.00 
111010.5327       0.00 
111010.7767       0.00 
111011.0207       0.00 
111011.2647       0.00 
111011.5087       0.00 
111011.7527       0.00 
111011.9967       0.00 
111012.2407       0.00 
111012.4847       0.00 
111012.7287       0.00 
111012.9727       0.00 
111013.2167       0.00 
111013.4607       0.00 
111013.7047       0.00 
111013.9487       0.00 
111014.1927       0.00 
111014.4367       0.00 
111014.6807       0.00 
111014.9247       0.00 
111015.1687       0.00 
111015.4127       0.00 
111015.6567       0.00 
111015.9007       0.00 
111016.1447       0.00 
111016.3887       0.00 
111016.6327       0.00 
111016.8767       0.00 
111017.1207       0.00 
111017.3647       0.00 
111017.6087       0.00 
111017.8527       0.00 
111018.0967       0.00 
111018.3407       0.00 
111018.5847       0.00 
111018.8287       0.00 
111019.0727       0.00 
111019.3167       0.00 
111019.5607       0.00 
111019.8047       0.00 
111020.0487       0.00 
111020.2927       0.00 
111020.5367       0.00 
111020.7807       0.00 
111021.0247       0.00 
111021.2687       0.00 
111021.5127       0.00 
111021.7567       0.00 
111022.0007       0.00 
111022.2447       0.00 
111022.4887       0.00 
111022.7327       0.00 
111022.9767       0.00 
111023.2207       0.00 
111023.4647       0.00 
111023.7087       0.00 
111023.9527       0.00 
111024.1967       0.00 
111024.4407       0.00 
111024.6847       0.00 
111024.9287       0.00 
111025.1727       0.00 
111025.4167       0.00 
111025.6607       0.00 
111025.9047       0.00 
111026.1487       0.00 
111026.3927       0.00 
111026.6367       0.00 
111026.8807       0.00 
111027.1247       0.00 
111027.3687       0.00 
111027.6127       0.00 
111027.8567       0.00 
111028.1007       0.00 
111028.3447       0.00 
111028.5887       0.00 
111028.8327       0.00 
111029.0767       0.00 
111029.3207       0.00 
111029.5647       0.00 
111029.8087       0.00 
111030.0527       0.00 
111030.2967       0.00 
111030.5407       0.00 
