! Freq(MHz)     Int(K)
102407.1155       0.00 
102407.3595       0.00 
102407.6035       0.00 
102407.8475       0.00 
102408.0915       0.00 
102408.3355       0.00 
102408.5795       0.00 
102408.8235       0.00 
102409.0675       0.00 
102409.3115       0.00 
102409.5555       0.00 
102409.7995       0.00 
102410.0435       0.00 
102410.2875       0.00 
102410.5315       0.00 
102410.7755       0.00 
102411.0195       0.00 
102411.2635       0.00 
102411.5075       0.00 
102411.7515       0.00 
102411.9955       0.00 
102412.2395       0.00 
102412.4835       0.00 
102412.7275       0.00 
102412.9715       0.00 
102413.2155       0.00 
102413.4595       0.00 
102413.7035       0.00 
102413.9475       0.00 
102414.1915       0.00 
102414.4355       0.00 
102414.6795       0.00 
102414.9235       0.00 
102415.1675       0.00 
102415.4115       0.01 
102415.6555       0.01 
102415.8995       0.02 
102416.1435       0.02 
102416.3875       0.02 
102416.6315       0.03 
102416.8755       0.03 
102417.1195       0.02 
102417.3635       0.02 
102417.6075       0.02 
102417.8515       0.01 
102418.0955       0.01 
102418.3395       0.00 
102418.5835       0.00 
102418.8275       0.00 
102419.0715       0.00 
102419.3155       0.00 
102419.5595       0.00 
102419.8035       0.00 
102420.0475       0.00 
102420.2915       0.00 
102420.5355       0.00 
102420.7795       0.00 
102421.0235       0.00 
102421.2675       0.00 
102421.5115       0.00 
102421.7555       0.00 
102421.9995       0.00 
102422.2435       0.00 
102422.4875       0.00 
102422.7315       0.00 
102422.9755       0.00 
102423.2195       0.00 
102423.4635       0.00 
102423.7075       0.00 
102423.9515       0.00 
102424.1955       0.00 
102424.4395       0.00 
102424.6835       0.00 
102424.9275       0.00 
102425.1715       0.00 
102425.4155       0.00 
102425.6595       0.00 
102425.9035       0.00 
102426.1475       0.00 
102426.3915       0.00 
102426.6355       0.00 
102426.8795       0.00 
102427.1235       0.00 
102427.3675       0.00 
102427.6115       0.00 
102427.8555       0.00 
102428.0995       0.00 
102428.3435       0.00 
102428.5875       0.00 
102428.8315       0.00 
102429.0755       0.00 
102429.3195       0.00 
102429.5635       0.00 
102429.8075       0.00 
102430.0515       0.00 
102430.2955       0.00 
102430.5395       0.00 
102430.7835       0.00 
102431.0275       0.00 
102431.2715       0.00 
102431.5155       0.00 
102431.7595       0.00 
102432.0035       0.00 
102432.2475       0.00 
102432.4915       0.00 
102432.7355       0.00 
102432.9795       0.00 
102433.2235       0.00 
102433.4675       0.00 
102433.7115       0.00 
102433.9555       0.00 
102434.1995       0.00 
102434.4435       0.00 
102434.6875       0.00 
102434.9315       0.00 
102435.1755       0.00 
102435.4195       0.00 
102435.6635       0.00 
102435.9075       0.00 
102436.1515       0.00 
102436.3955       0.00 
102436.6395       0.00 
102436.8835       0.00 
102437.1275       0.00 
102437.3715       0.00 
102437.6155       0.00 
102437.8595       0.00 
102438.1035       0.00 
102438.3475       0.00 
102438.5915       0.00 
102438.8355       0.00 
102439.0795       0.00 
102439.3235       0.00 
102439.5675       0.00 
102439.8115       0.00 
102440.0555       0.00 
102440.2995       0.00 
102440.5435       0.00 
102440.7875       0.00 
102441.0315       0.00 
102441.2755       0.00 
102441.5195       0.00 
102441.7635       0.00 
102442.0075       0.00 
102442.2515       0.00 
102442.4955       0.00 
102442.7395       0.00 
102442.9835       0.00 
102443.2275       0.00 
102443.4715       0.00 
102443.7155       0.00 
102443.9595       0.00 
102444.2035       0.00 
102444.4475       0.00 
102444.6915       0.00 
102444.9355       0.00 
102445.1795       0.00 
102445.4235       0.00 
102445.6675       0.00 
102445.9115       0.00 
102446.1555       0.00 
102446.3995       0.00 
102446.6435       0.00 
102446.8875       0.00 
102447.1315       0.00 
102447.3755       0.00 
102447.6195       0.00 
102447.8635       0.00 
102448.1075       0.00 
102448.3515       0.00 
102448.5955       0.00 
102448.8395       0.00 
102449.0835       0.00 
102449.3275       0.00 
102449.5715       0.00 
102449.8155       0.00 
102450.0595       0.00 
102450.3035       0.00 
102450.5475       0.00 
102450.7915       0.00 
102451.0355       0.00 
102451.2795       0.00 
102451.5235       0.00 
102451.7675       0.00 
102452.0115       0.00 
102452.2555       0.00 
102452.4995       0.00 
102452.7435       0.00 
102452.9875       0.00 
102453.2315       0.00 
102453.4755       0.00 
102453.7195       0.00 
102453.9635       0.00 
102454.2075       0.00 
102454.4515       0.00 
102454.6955       0.00 
102454.9395       0.00 
102455.1835       0.00 
102455.4275       0.00 
102455.6715       0.00 
102455.9155       0.00 
102456.1595       0.00 
102456.4035       0.00 
102456.6475       0.00 
102456.8915       0.00 
102457.1355       0.00 
102457.3795       0.00 
102457.6235       0.00 
102457.8675       0.00 
102458.1115       0.00 
102458.3555       0.00 
102458.5995       0.00 
102458.8435       0.00 
102459.0875       0.00 
102459.3315       0.00 
102459.5755       0.00 
102459.8195       0.00 
102460.0635       0.00 
102460.3075       0.00 
102460.5515       0.00 
102460.7955       0.00 
102461.0395       0.00 
102461.2835       0.00 
102461.5275       0.00 
102461.7715       0.00 
102462.0155       0.00 
102462.2595       0.00 
102462.5035       0.00 
102462.7475       0.00 
102462.9915       0.00 
102463.2355       0.00 
102463.4795       0.00 
102463.7235       0.00 
102463.9675       0.00 
102464.2115       0.00 
102464.4555       0.00 
102464.6995       0.00 
102464.9435       0.00 
102465.1875       0.00 
102465.4315       0.00 
102465.6755       0.00 
102465.9195       0.00 
102466.1635       0.00 
102466.4075       0.00 
102466.6515       0.00 
102466.8955       0.00 
102467.1395       0.00 
102467.3835       0.00 
102467.6275       0.00 
102467.8715       0.00 
102468.1155       0.00 
102468.3595       0.00 
102468.6035       0.00 
102468.8475       0.00 
102469.0915       0.00 
102469.3355       0.00 
102469.5795       0.00 
102469.8235       0.00 
102470.0675       0.00 
102470.3115       0.00 
102470.5555       0.00 
102470.7995       0.00 
102471.0435       0.00 
102471.2875       0.00 
102471.5315       0.00 
102471.7755       0.00 
102472.0195       0.00 
102472.2635       0.00 
102472.5075       0.00 
102472.7515       0.00 
102472.9955       0.00 
102473.2395       0.00 
102473.4835       0.00 
102473.7275       0.00 
102473.9715       0.00 
102474.2155       0.00 
102474.4595       0.00 
102474.7035       0.00 
102474.9475       0.00 
102475.1915       0.00 
102475.4355       0.00 
102475.6795       0.00 
102475.9235       0.00 
102476.1675       0.00 
102476.4115       0.00 
102476.6555       0.00 
102476.8995       0.00 
102477.1435       0.00 
102477.3875       0.00 
102477.6315       0.00 
102477.8755       0.00 
102478.1195       0.00 
102478.3635       0.00 
102478.6075       0.00 
102478.8515       0.00 
102479.0955       0.00 
102479.3395       0.00 
102479.5835       0.00 
102479.8275       0.00 
102480.0715       0.00 
