! Freq(MHz)     Int(K)
 92110.2446       0.00 
 92110.4886       0.00 
 92110.7326       0.00 
 92110.9766       0.00 
 92111.2206       0.00 
 92111.4646       0.00 
 92111.7086       0.00 
 92111.9526       0.00 
 92112.1966       0.00 
 92112.4406       0.00 
 92112.6846       0.00 
 92112.9286       0.00 
 92113.1726       0.00 
 92113.4166       0.00 
 92113.6606       0.00 
 92113.9046       0.00 
 92114.1486       0.00 
 92114.3926       0.00 
 92114.6366       0.00 
 92114.8806       0.00 
 92115.1246       0.00 
 92115.3686       0.00 
 92115.6126       0.00 
 92115.8566       0.00 
 92116.1006       0.00 
 92116.3446       0.00 
 92116.5886       0.00 
 92116.8326       0.00 
 92117.0766       0.00 
 92117.3206       0.00 
 92117.5646       0.00 
 92117.8086       0.00 
 92118.0526       0.00 
 92118.2966       0.00 
 92118.5406       0.00 
 92118.7846       0.00 
 92119.0286       0.00 
 92119.2726       0.00 
 92119.5166       0.00 
 92119.7606       0.00 
 92120.0046       0.00 
 92120.2486       0.00 
 92120.4926       0.00 
 92120.7366       0.00 
 92120.9806       0.00 
 92121.2246       0.00 
 92121.4686       0.00 
 92121.7126       0.00 
 92121.9566       0.00 
 92122.2006       0.00 
 92122.4446       0.00 
 92122.6886       0.00 
 92122.9326       0.00 
 92123.1766       0.00 
 92123.4206       0.00 
 92123.6646       0.00 
 92123.9086       0.00 
 92124.1526       0.00 
 92124.3966       0.00 
 92124.6406       0.00 
 92124.8846       0.00 
 92125.1286       0.00 
 92125.3726       0.00 
 92125.6166       0.00 
 92125.8606       0.00 
 92126.1046       0.00 
 92126.3486       0.00 
 92126.5926       0.00 
 92126.8366       0.00 
 92127.0806       0.00 
 92127.3246       0.00 
 92127.5686       0.00 
 92127.8126       0.00 
 92128.0566       0.00 
 92128.3006       0.00 
 92128.5446       0.00 
 92128.7886       0.00 
 92129.0326       0.00 
 92129.2766       0.00 
 92129.5206       0.00 
 92129.7646       0.00 
 92130.0086       0.00 
 92130.2526       0.00 
 92130.4966       0.00 
 92130.7406       0.00 
 92130.9846       0.00 
 92131.2286       0.00 
 92131.4726       0.00 
 92131.7166       0.00 
 92131.9606       0.00 
 92132.2046       0.00 
 92132.4486       0.00 
 92132.6926       0.00 
 92132.9366       0.00 
 92133.1806       0.00 
 92133.4246       0.00 
 92133.6686       0.00 
 92133.9126       0.00 
 92134.1566       0.00 
 92134.4006       0.00 
 92134.6446       0.00 
 92134.8886       0.00 
 92135.1326       0.00 
 92135.3766       0.00 
 92135.6206       0.00 
 92135.8646       0.00 
 92136.1086       0.00 
 92136.3526       0.00 
 92136.5966       0.00 
 92136.8406       0.00 
 92137.0846       0.00 
 92137.3286       0.00 
 92137.5726       0.00 
 92137.8166       0.00 
 92138.0606       0.00 
 92138.3046       0.00 
 92138.5486       0.00 
 92138.7926       0.00 
 92139.0366       0.00 
 92139.2806       0.00 
 92139.5246       0.00 
 92139.7686       0.00 
 92140.0126       0.00 
 92140.2566       0.00 
 92140.5006       0.00 
 92140.7446       0.00 
 92140.9886       0.00 
 92141.2326       0.00 
 92141.4766       0.00 
 92141.7206       0.00 
 92141.9646       0.00 
 92142.2086       0.00 
 92142.4526       0.00 
 92142.6966       0.00 
 92142.9406       0.00 
 92143.1846       0.00 
 92143.4286       0.00 
 92143.6726       0.00 
 92143.9166       0.00 
 92144.1606       0.00 
 92144.4046       0.00 
 92144.6486       0.00 
 92144.8926       0.00 
 92145.1366       0.00 
 92145.3806       0.00 
 92145.6246       0.00 
 92145.8686       0.00 
 92146.1126       0.00 
 92146.3566       0.00 
 92146.6006       0.00 
 92146.8446       0.00 
 92147.0886       0.00 
 92147.3326       0.00 
 92147.5766       0.00 
 92147.8206       0.00 
 92148.0646       0.00 
 92148.3086       0.00 
 92148.5526       0.00 
 92148.7966       0.00 
 92149.0406       0.00 
 92149.2846       0.00 
 92149.5286       0.00 
 92149.7726       0.00 
 92150.0166       0.00 
 92150.2606       0.00 
 92150.5046       0.00 
 92150.7486       0.00 
 92150.9926       0.00 
 92151.2366       0.00 
 92151.4806       0.00 
 92151.7246       0.00 
 92151.9686       0.00 
 92152.2126       0.00 
 92152.4566       0.00 
 92152.7006       0.00 
 92152.9446       0.00 
 92153.1886       0.00 
 92153.4326       0.00 
 92153.6766       0.00 
 92153.9206       0.00 
 92154.1646       0.00 
 92154.4086       0.00 
 92154.6526       0.00 
 92154.8966       0.00 
 92155.1406       0.00 
 92155.3846       0.00 
 92155.6286       0.00 
 92155.8726       0.00 
 92156.1166       0.00 
 92156.3606       0.00 
 92156.6046       0.00 
 92156.8486       0.00 
 92157.0926       0.00 
 92157.3366       0.00 
 92157.5806       0.00 
 92157.8246       0.00 
 92158.0686       0.00 
 92158.3126       0.00 
 92158.5566       0.00 
 92158.8006       0.00 
 92159.0446       0.00 
 92159.2886       0.00 
 92159.5326       0.00 
 92159.7766       0.00 
 92160.0206       0.00 
 92160.2646       0.00 
 92160.5086       0.00 
 92160.7526       0.00 
 92160.9966       0.00 
 92161.2406       0.00 
 92161.4846       0.00 
 92161.7286       0.00 
 92161.9726       0.00 
 92162.2166       0.00 
 92162.4606       0.00 
 92162.7046       0.00 
 92162.9486       0.00 
 92163.1926       0.00 
 92163.4366       0.00 
 92163.6806       0.00 
 92163.9246       0.00 
 92164.1686       0.00 
 92164.4126       0.00 
 92164.6566       0.00 
 92164.9006       0.00 
 92165.1446       0.00 
 92165.3886       0.00 
 92165.6326       0.00 
 92165.8766       0.00 
 92166.1206       0.00 
 92166.3646       0.00 
 92166.6086       0.00 
 92166.8526       0.00 
 92167.0966       0.00 
 92167.3406       0.00 
 92167.5846       0.00 
