! Freq(MHz)     Int(K)
 93813.3474       0.00 
 93813.5914       0.00 
 93813.8354       0.00 
 93814.0794       0.00 
 93814.3234       0.00 
 93814.5674       0.00 
 93814.8114       0.00 
 93815.0554       0.00 
 93815.2994       0.00 
 93815.5434       0.00 
 93815.7874       0.00 
 93816.0314       0.00 
 93816.2754       0.00 
 93816.5194       0.00 
 93816.7634       0.00 
 93817.0074       0.00 
 93817.2514       0.00 
 93817.4954       0.00 
 93817.7394       0.00 
 93817.9834       0.00 
 93818.2274       0.00 
 93818.4714       0.00 
 93818.7154       0.00 
 93818.9594       0.00 
 93819.2034       0.00 
 93819.4474       0.00 
 93819.6914       0.00 
 93819.9354       0.00 
 93820.1794       0.00 
 93820.4234       0.00 
 93820.6674       0.00 
 93820.9114       0.00 
 93821.1554       0.00 
 93821.3994       0.00 
 93821.6434       0.00 
 93821.8874       0.00 
 93822.1314       0.00 
 93822.3754       0.00 
 93822.6194       0.00 
 93822.8634       0.00 
 93823.1074       0.00 
 93823.3514       0.00 
 93823.5954       0.00 
 93823.8394       0.00 
 93824.0834       0.00 
 93824.3274       0.00 
 93824.5714       0.00 
 93824.8154       0.00 
 93825.0594       0.00 
 93825.3034       0.00 
 93825.5474       0.00 
 93825.7914       0.00 
 93826.0354       0.00 
 93826.2794       0.00 
 93826.5234       0.00 
 93826.7674       0.00 
 93827.0114       0.00 
 93827.2554       0.00 
 93827.4994       0.00 
 93827.7434       0.00 
 93827.9874       0.00 
 93828.2314       0.00 
 93828.4754       0.00 
 93828.7194       0.00 
 93828.9634       0.00 
 93829.2074       0.00 
 93829.4514       0.00 
 93829.6954       0.00 
 93829.9394       0.00 
 93830.1834       0.00 
 93830.4274       0.00 
 93830.6714       0.00 
 93830.9154       0.00 
 93831.1594       0.00 
 93831.4034       0.00 
 93831.6474       0.00 
 93831.8914       0.00 
 93832.1354       0.00 
 93832.3794       0.00 
 93832.6234       0.00 
 93832.8674       0.00 
 93833.1114       0.00 
 93833.3554       0.00 
 93833.5994       0.00 
 93833.8434       0.00 
 93834.0874       0.00 
 93834.3314       0.00 
 93834.5754       0.00 
 93834.8194       0.00 
 93835.0634       0.00 
 93835.3074       0.00 
 93835.5514       0.00 
 93835.7954       0.00 
 93836.0394       0.00 
 93836.2834       0.00 
 93836.5274       0.00 
 93836.7714       0.00 
 93837.0154       0.00 
 93837.2594       0.00 
 93837.5034       0.00 
 93837.7474       0.00 
 93837.9914       0.00 
 93838.2354       0.00 
 93838.4794       0.00 
 93838.7234       0.00 
 93838.9674       0.00 
 93839.2114       0.00 
 93839.4554       0.00 
 93839.6994       0.00 
 93839.9434       0.00 
 93840.1874       0.00 
 93840.4314       0.00 
 93840.6754       0.00 
 93840.9194       0.00 
 93841.1634       0.00 
 93841.4074       0.00 
 93841.6514       0.00 
 93841.8954       0.00 
 93842.1394       0.00 
 93842.3834       0.00 
 93842.6274       0.00 
 93842.8714       0.00 
 93843.1154       0.00 
 93843.3594       0.00 
 93843.6034       0.00 
 93843.8474       0.00 
 93844.0914       0.00 
 93844.3354       0.00 
 93844.5794       0.00 
 93844.8234       0.00 
 93845.0674       0.00 
 93845.3114       0.00 
 93845.5554       0.00 
 93845.7994       0.00 
 93846.0434       0.00 
 93846.2874       0.00 
 93846.5314       0.00 
 93846.7754       0.00 
 93847.0194       0.00 
 93847.2634       0.00 
 93847.5074       0.00 
 93847.7514       0.00 
 93847.9954       0.00 
 93848.2394       0.00 
 93848.4834       0.00 
 93848.7274       0.00 
 93848.9714       0.00 
 93849.2154       0.00 
 93849.4594       0.00 
 93849.7034       0.00 
 93849.9474       0.00 
 93850.1914       0.00 
 93850.4354       0.00 
 93850.6794       0.00 
 93850.9234       0.00 
 93851.1674       0.00 
 93851.4114       0.00 
 93851.6554       0.00 
 93851.8994       0.00 
 93852.1434       0.00 
 93852.3874       0.00 
 93852.6314       0.00 
 93852.8754       0.00 
 93853.1194       0.00 
 93853.3634       0.00 
 93853.6074       0.00 
 93853.8514       0.00 
 93854.0954       0.00 
 93854.3394       0.00 
 93854.5834       0.00 
 93854.8274       0.00 
 93855.0714       0.00 
 93855.3154       0.00 
 93855.5594       0.00 
 93855.8034       0.00 
 93856.0474       0.00 
 93856.2914       0.00 
 93856.5354       0.00 
 93856.7794       0.00 
 93857.0234       0.00 
 93857.2674       0.00 
 93857.5114       0.00 
 93857.7554       0.00 
 93857.9994       0.00 
 93858.2434       0.00 
 93858.4874       0.00 
 93858.7314       0.00 
 93858.9754       0.00 
 93859.2194       0.00 
 93859.4634       0.00 
 93859.7074       0.00 
 93859.9514       0.00 
 93860.1954       0.00 
 93860.4394       0.00 
 93860.6834       0.00 
 93860.9274       0.00 
 93861.1714       0.00 
 93861.4154       0.00 
 93861.6594       0.00 
 93861.9034       0.00 
 93862.1474       0.00 
 93862.3914       0.00 
 93862.6354       0.00 
 93862.8794       0.00 
 93863.1234       0.00 
 93863.3674       0.00 
 93863.6114       0.00 
 93863.8554       0.00 
 93864.0994       0.00 
 93864.3434       0.00 
 93864.5874       0.00 
 93864.8314       0.00 
 93865.0754       0.00 
 93865.3194       0.00 
 93865.5634       0.00 
 93865.8074       0.00 
 93866.0514       0.00 
 93866.2954       0.00 
 93866.5394       0.00 
 93866.7834       0.00 
 93867.0274       0.00 
 93867.2714       0.00 
 93867.5154       0.00 
 93867.7594       0.00 
 93868.0034       0.00 
 93868.2474       0.00 
 93868.4914       0.00 
 93868.7354       0.00 
 93868.9794       0.00 
 93869.2234       0.00 
 93869.4674       0.00 
 93869.7114       0.00 
 93869.9554       0.00 
 93870.1994       0.00 
 93870.4434       0.00 
 93870.6874       0.00 
 93870.9314       0.00 
 93871.1754       0.00 
 93871.4194       0.00 
 93871.6634       0.00 
 93871.9074       0.00 
 93872.1514       0.00 
 93872.3954       0.00 
 93872.6394       0.00 
 93872.8834       0.00 
 93873.1274       0.00 
 93873.3714       0.00 
 93873.6154       0.00 
 93873.8594       0.00 
 93874.1034       0.00 
 93874.3474       0.00 
 93874.5914       0.00 
 93874.8354       0.00 
 93875.0794       0.00 
 93875.3234       0.00 
 93875.5674       0.00 
 93875.8114       0.00 
 93876.0554       0.00 
 93876.2994       0.00 
 93876.5434       0.00 
 93876.7874       0.00 
 93877.0314       0.00 
 93877.2754       0.00 
 93877.5194       0.00 
 93877.7634       0.00 
 93878.0074       0.00 
 93878.2514       0.00 
 93878.4954       0.00 
 93878.7394       0.00 
 93878.9834       0.00 
 93879.2274       0.00 
 93879.4714       0.00 
 93879.7154       0.00 
 93879.9594       0.00 
 93880.2034       0.00 
 93880.4474       0.00 
 93880.6914       0.00 
 93880.9354       0.00 
 93881.1794       0.00 
 93881.4234       0.00 
 93881.6674       0.00 
 93881.9114       0.00 
 93882.1554       0.00 
 93882.3994       0.00 
 93882.6434       0.00 
 93882.8874       0.00 
 93883.1314       0.00 
 93883.3754       0.00 
 93883.6194       0.00 
 93883.8634       0.00 
 93884.1074       0.00 
 93884.3514       0.00 
 93884.5954       0.00 
 93884.8394       0.00 
 93885.0834       0.00 
 93885.3274       0.00 
 93885.5714       0.00 
 93885.8154       0.00 
 93886.0594       0.00 
 93886.3034       0.00 
 93886.5474       0.00 
 93886.7914       0.00 
 93887.0354       0.00 
 93887.2794       0.00 
 93887.5234       0.00 
 93887.7674       0.00 
 93888.0114       0.00 
 93888.2554       0.00 
 93888.4994       0.00 
 93888.7434       0.00 
 93888.9874       0.00 
 93889.2314       0.00 
 93889.4754       0.00 
 93889.7194       0.00 
 93889.9634       0.00 
 93890.2074       0.00 
 93890.4514       0.00 
 93890.6954       0.00 
 93890.9394       0.00 
 93891.1834       0.00 
 93891.4274       0.00 
 93891.6714       0.00 
 93891.9154       0.00 
 93892.1594       0.00 
 93892.4034       0.00 
 93892.6474       0.00 
 93892.8914       0.00 
 93893.1354       0.00 
 93893.3794       0.00 
 93893.6234       0.00 
 93893.8674       0.00 
 93894.1114       0.00 
 93894.3554       0.00 
 93894.5994       0.00 
 93894.8434       0.00 
 93895.0874       0.00 
 93895.3314       0.00 
 93895.5754       0.00 
 93895.8194       0.00 
 93896.0634       0.00 
 93896.3074       0.00 
 93896.5514       0.00 
 93896.7954       0.00 
 93897.0394       0.00 
 93897.2834       0.00 
 93897.5274       0.00 
 93897.7714       0.00 
 93898.0154       0.00 
 93898.2594       0.00 
 93898.5034       0.00 
 93898.7474       0.00 
 93898.9914       0.00 
 93899.2354       0.00 
 93899.4794       0.00 
 93899.7234       0.00 
 93899.9674       0.00 
 93900.2114       0.00 
 93900.4554       0.00 
 93900.6994       0.00 
 93900.9434       0.00 
 93901.1874       0.00 
 93901.4314       0.00 
 93901.6754       0.00 
 93901.9194       0.00 
 93902.1634       0.00 
 93902.4074       0.00 
 93902.6514       0.00 
 93902.8954       0.00 
 93903.1394       0.00 
 93903.3834       0.00 
 93903.6274       0.00 
 93903.8714       0.00 
 93904.1154       0.00 
 93904.3594       0.00 
 93904.6034       0.00 
 93904.8474       0.00 
 93905.0914       0.00 
 93905.3354       0.00 
 93905.5794       0.00 
 93905.8234       0.00 
 93906.0674       0.00 
 93906.3114       0.00 
 93906.5554       0.00 
 93906.7994       0.00 
 93907.0434       0.00 
 93907.2874       0.00 
 93907.5314       0.00 
 93907.7754       0.00 
 93908.0194       0.00 
 93908.2634       0.00 
 93908.5074       0.00 
 93908.7514       0.00 
 93908.9954       0.00 
 93909.2394       0.00 
 93909.4834       0.00 
 93909.7274       0.00 
 93909.9714       0.00 
 93910.2154       0.00 
 93910.4594       0.00 
 93910.7034       0.00 
 93910.9474       0.00 
 93911.1914       0.00 
 93911.4354       0.00 
