! Freq(MHz)     Int(K)
104110.1944       0.00 
104110.4384       0.00 
104110.6824       0.00 
104110.9264       0.00 
104111.1704       0.00 
104111.4144       0.00 
104111.6584       0.00 
104111.9024       0.00 
104112.1464       0.00 
104112.3904       0.00 
104112.6344       0.00 
104112.8784       0.00 
104113.1224       0.00 
104113.3664       0.00 
104113.6104       0.00 
104113.8544       0.00 
104114.0984       0.00 
104114.3424       0.00 
104114.5864       0.00 
104114.8304       0.00 
104115.0744       0.00 
104115.3184       0.00 
104115.5624       0.00 
104115.8064       0.00 
104116.0504       0.00 
104116.2944       0.00 
104116.5384       0.00 
104116.7824       0.00 
104117.0264       0.00 
104117.2704       0.00 
104117.5144       0.00 
104117.7584       0.00 
104118.0024       0.00 
104118.2464       0.00 
104118.4904       0.00 
104118.7344       0.00 
104118.9784       0.00 
104119.2224       0.00 
104119.4664       0.00 
104119.7104       0.00 
104119.9544       0.00 
104120.1984       0.00 
104120.4424       0.00 
104120.6864       0.00 
104120.9304       0.00 
104121.1744       0.00 
104121.4184       0.00 
104121.6624       0.00 
104121.9064       0.00 
104122.1504       0.00 
104122.3944       0.00 
104122.6384       0.00 
104122.8824       0.00 
104123.1264       0.00 
104123.3704       0.00 
104123.6144       0.00 
104123.8584       0.00 
104124.1024       0.00 
104124.3464       0.00 
104124.5904       0.00 
104124.8344       0.00 
104125.0784       0.00 
104125.3224       0.00 
104125.5664       0.00 
104125.8104       0.00 
104126.0544       0.00 
104126.2984       0.00 
104126.5424       0.00 
104126.7864       0.00 
104127.0304       0.00 
104127.2744       0.00 
104127.5184       0.00 
104127.7624       0.00 
104128.0064       0.00 
104128.2504       0.00 
104128.4944       0.00 
104128.7384       0.00 
104128.9824       0.00 
104129.2264       0.00 
104129.4704       0.00 
104129.7144       0.00 
104129.9584       0.00 
104130.2024       0.00 
104130.4464       0.00 
104130.6904       0.00 
104130.9344       0.00 
104131.1784       0.00 
104131.4224       0.00 
104131.6664       0.00 
104131.9104       0.00 
104132.1544       0.00 
104132.3984       0.00 
104132.6424       0.00 
104132.8864       0.00 
104133.1304       0.00 
104133.3744       0.00 
104133.6184       0.00 
104133.8624       0.00 
104134.1064       0.00 
104134.3504       0.00 
104134.5944       0.00 
104134.8384       0.00 
104135.0824       0.00 
104135.3264       0.00 
104135.5704       0.00 
104135.8144       0.00 
104136.0584       0.00 
104136.3024       0.00 
104136.5464       0.00 
104136.7904       0.00 
104137.0344       0.00 
104137.2784       0.00 
104137.5224       0.00 
104137.7664       0.00 
104138.0104       0.00 
104138.2544       0.00 
104138.4984       0.00 
104138.7424       0.00 
104138.9864       0.00 
104139.2304       0.00 
104139.4744       0.00 
104139.7184       0.00 
104139.9624       0.00 
104140.2064       0.00 
104140.4504       0.00 
104140.6944       0.00 
104140.9384       0.00 
104141.1824       0.00 
104141.4264       0.00 
104141.6704       0.00 
104141.9144       0.00 
104142.1584       0.00 
104142.4024       0.00 
104142.6464       0.00 
104142.8904       0.00 
104143.1344       0.00 
104143.3784       0.00 
104143.6224       0.00 
104143.8664       0.00 
104144.1104       0.00 
104144.3544       0.00 
104144.5984       0.00 
104144.8424       0.00 
104145.0864       0.00 
104145.3304       0.00 
104145.5744       0.00 
104145.8184       0.00 
104146.0624       0.00 
104146.3064       0.00 
104146.5504       0.00 
104146.7944       0.00 
104147.0384       0.00 
104147.2824       0.00 
104147.5264       0.00 
104147.7704       0.00 
104148.0144       0.00 
104148.2584       0.00 
104148.5024       0.00 
104148.7464       0.00 
104148.9904       0.00 
104149.2344       0.00 
104149.4784       0.00 
104149.7224       0.00 
104149.9664       0.00 
104150.2104       0.00 
104150.4544       0.00 
104150.6984       0.00 
104150.9424       0.00 
104151.1864       0.00 
104151.4304       0.00 
104151.6744       0.00 
104151.9184       0.00 
104152.1624       0.00 
104152.4064       0.00 
104152.6504       0.00 
104152.8944       0.00 
104153.1384       0.00 
104153.3824       0.00 
104153.6264       0.00 
104153.8704       0.00 
104154.1144       0.00 
104154.3584       0.00 
104154.6024       0.00 
104154.8464       0.00 
104155.0904       0.00 
104155.3344       0.00 
104155.5784       0.00 
104155.8224       0.00 
104156.0664       0.00 
104156.3104       0.00 
104156.5544       0.00 
104156.7984       0.00 
104157.0424       0.00 
104157.2864       0.00 
104157.5304       0.00 
104157.7744       0.00 
104158.0184       0.00 
104158.2624       0.00 
104158.5064       0.00 
104158.7504       0.00 
104158.9944       0.00 
104159.2384       0.00 
104159.4824       0.00 
104159.7264       0.00 
104159.9704       0.00 
104160.2144       0.00 
104160.4584       0.00 
104160.7024       0.00 
104160.9464       0.00 
104161.1904       0.00 
104161.4344       0.00 
104161.6784       0.00 
104161.9224       0.00 
104162.1664       0.00 
104162.4104       0.00 
104162.6544       0.00 
104162.8984       0.00 
104163.1424       0.00 
104163.3864       0.00 
104163.6304       0.00 
104163.8744       0.00 
104164.1184       0.00 
104164.3624       0.00 
104164.6064       0.00 
104164.8504       0.00 
104165.0944       0.00 
104165.3384       0.00 
104165.5824       0.00 
104165.8264       0.00 
104166.0704       0.00 
104166.3144       0.00 
104166.5584       0.00 
104166.8024       0.00 
104167.0464       0.00 
104167.2904       0.00 
104167.5344       0.00 
104167.7784       0.00 
104168.0224       0.00 
104168.2664       0.00 
104168.5104       0.00 
104168.7544       0.00 
104168.9984       0.00 
104169.2424       0.00 
104169.4864       0.00 
104169.7304       0.00 
104169.9744       0.00 
104170.2184       0.00 
104170.4624       0.00 
104170.7064       0.00 
104170.9504       0.00 
104171.1944       0.00 
104171.4384       0.00 
104171.6824       0.00 
104171.9264       0.00 
104172.1704       0.00 
104172.4144       0.00 
104172.6584       0.00 
104172.9024       0.00 
104173.1464       0.00 
104173.3904       0.00 
104173.6344       0.00 
104173.8784       0.00 
104174.1224       0.00 
104174.3664       0.00 
104174.6104       0.00 
104174.8544       0.00 
104175.0984       0.00 
104175.3424       0.00 
104175.5864       0.00 
104175.8304       0.00 
104176.0744       0.00 
104176.3184       0.00 
104176.5624       0.00 
104176.8064       0.00 
104177.0504       0.00 
104177.2944       0.00 
104177.5384       0.00 
104177.7824       0.00 
104178.0264       0.00 
104178.2704       0.00 
104178.5144       0.00 
104178.7584       0.00 
104179.0024       0.00 
104179.2464       0.00 
104179.4904       0.00 
104179.7344       0.00 
104179.9784       0.00 
104180.2224       0.00 
104180.4664       0.00 
104180.7104       0.00 
104180.9544       0.00 
104181.1984       0.00 
104181.4424       0.00 
104181.6864       0.00 
104181.9304       0.00 
104182.1744       0.00 
104182.4184       0.00 
104182.6624       0.00 
104182.9064       0.00 
104183.1504       0.00 
104183.3944       0.00 
104183.6384       0.00 
104183.8824       0.00 
104184.1264       0.00 
104184.3704       0.00 
104184.6144       0.00 
104184.8584       0.00 
104185.1024       0.00 
104185.3464       0.00 
104185.5904       0.00 
104185.8344       0.00 
104186.0784       0.00 
104186.3224       0.00 
104186.5664       0.00 
104186.8104       0.00 
104187.0544       0.00 
104187.2984       0.00 
104187.5424       0.00 
104187.7864       0.00 
104188.0304       0.00 
104188.2744       0.00 
104188.5184       0.00 
104188.7624       0.00 
104189.0064       0.00 
104189.2504       0.00 
104189.4944       0.00 
104189.7384       0.00 
104189.9824       0.00 
104190.2264       0.00 
104190.4704       0.00 
104190.7144       0.00 
104190.9584       0.00 
104191.2024       0.00 
104191.4464       0.00 
104191.6904       0.00 
104191.9344       0.00 
104192.1784       0.00 
104192.4224       0.00 
104192.6664       0.00 
104192.9104       0.00 
104193.1544       0.00 
104193.3984       0.00 
104193.6424       0.00 
104193.8864       0.00 
104194.1304       0.00 
104194.3744       0.00 
104194.6184       0.00 
104194.8624       0.00 
104195.1064       0.00 
104195.3504       0.00 
104195.5944       0.00 
104195.8384       0.00 
104196.0824       0.00 
104196.3264       0.00 
104196.5704       0.00 
104196.8144       0.00 
104197.0584       0.00 
104197.3024       0.00 
104197.5464       0.00 
104197.7904       0.00 
104198.0344       0.00 
104198.2784       0.00 
104198.5224       0.00 
104198.7664       0.00 
104199.0104       0.00 
104199.2544       0.00 
104199.4984       0.00 
104199.7424       0.00 
104199.9864       0.00 
104200.2304       0.00 
104200.4744       0.00 
104200.7184       0.00 
104200.9624       0.00 
104201.2064       0.00 
104201.4504       0.00 
104201.6944       0.00 
104201.9384       0.00 
104202.1824       0.00 
104202.4264       0.00 
104202.6704       0.00 
104202.9144       0.00 
104203.1584       0.00 
104203.4024       0.00 
104203.6464       0.00 
104203.8904       0.00 
104204.1344       0.00 
104204.3784       0.00 
104204.6224       0.00 
104204.8664       0.00 
104205.1104       0.00 
104205.3544       0.00 
104205.5984       0.00 
104205.8424       0.00 
104206.0864       0.00 
104206.3304       0.00 
104206.5744       0.00 
104206.8184       0.00 
104207.0624       0.00 
104207.3064       0.00 
104207.5504       0.00 
104207.7944       0.00 
104208.0384       0.00 
104208.2824       0.00 
104208.5264       0.00 
104208.7704       0.00 
104209.0144       0.00 
104209.2584       0.00 
104209.5024       0.00 
104209.7464       0.00 
104209.9904       0.00 
104210.2344       0.00 
104210.4784       0.00 
104210.7224       0.00 
104210.9664       0.00 
104211.2104       0.00 
104211.4544       0.00 
104211.6984       0.00 
104211.9424       0.00 
104212.1864       0.00 
104212.4304       0.00 
104212.6744       0.00 
104212.9184       0.00 
104213.1624       0.00 
104213.4064       0.00 
104213.6504       0.00 
104213.8944       0.00 
104214.1384       0.00 
104214.3824       0.00 
104214.6264       0.00 
104214.8704       0.00 
104215.1144       0.00 
104215.3584       0.00 
104215.6024       0.00 
104215.8464       0.00 
104216.0904       0.00 
104216.3344       0.00 
104216.5784       0.00 
104216.8224       0.00 
104217.0664       0.00 
104217.3104       0.00 
104217.5544       0.00 
104217.7984       0.00 
104218.0424       0.00 
104218.2864       0.00 
104218.5304       0.00 
104218.7744       0.00 
104219.0184       0.00 
104219.2624       0.00 
104219.5064       0.00 
104219.7504       0.00 
104219.9944       0.00 
104220.2384       0.00 
104220.4824       0.00 
104220.7264       0.00 
104220.9704       0.00 
104221.2144       0.00 
104221.4584       0.00 
104221.7024       0.00 
104221.9464       0.00 
104222.1904       0.00 
104222.4344       0.00 
104222.6784       0.00 
104222.9224       0.00 
104223.1664       0.00 
104223.4104       0.00 
104223.6544       0.00 
104223.8984       0.00 
104224.1424       0.00 
104224.3864       0.00 
104224.6304       0.00 
104224.8744       0.00 
104225.1184       0.00 
104225.3624       0.00 
104225.6064       0.00 
104225.8504       0.00 
104226.0944       0.00 
104226.3384       0.00 
104226.5824       0.00 
104226.8264       0.00 
104227.0704       0.00 
104227.3144       0.00 
104227.5584       0.00 
104227.8024       0.00 
104228.0464       0.00 
