! Freq(MHz)     Int(K)
107516.4130       0.00 
107516.6570       0.00 
107516.9010       0.00 
107517.1450       0.00 
107517.3890       0.00 
107517.6330       0.00 
107517.8770       0.00 
107518.1210       0.00 
107518.3650       0.00 
107518.6090       0.00 
107518.8530       0.00 
107519.0970       0.00 
107519.3410       0.00 
107519.5850       0.00 
107519.8290       0.00 
107520.0730       0.00 
107520.3170       0.00 
107520.5610       0.00 
107520.8050       0.00 
107521.0490       0.00 
107521.2930       0.00 
107521.5370       0.00 
107521.7810       0.00 
107522.0250       0.00 
107522.2690       0.00 
107522.5130       0.00 
107522.7570       0.00 
107523.0010       0.00 
107523.2450       0.00 
107523.4890       0.00 
107523.7330       0.00 
107523.9770       0.00 
107524.2210       0.00 
107524.4650       0.00 
107524.7090       0.00 
107524.9530       0.00 
107525.1970       0.00 
107525.4410       0.00 
107525.6850       0.00 
107525.9290       0.00 
107526.1730       0.00 
107526.4170       0.00 
107526.6610       0.00 
107526.9050       0.00 
107527.1490       0.00 
107527.3930       0.00 
107527.6370       0.00 
107527.8810       0.00 
107528.1250       0.00 
107528.3690       0.00 
107528.6130       0.00 
107528.8570       0.00 
107529.1010       0.00 
107529.3450       0.00 
107529.5890       0.00 
107529.8330       0.00 
107530.0770       0.00 
107530.3210       0.00 
107530.5650       0.00 
107530.8090       0.00 
107531.0530       0.00 
107531.2970       0.00 
107531.5410       0.00 
107531.7850       0.00 
107532.0290       0.00 
107532.2730       0.00 
107532.5170       0.00 
107532.7610       0.00 
107533.0050       0.00 
107533.2490       0.00 
107533.4930       0.00 
107533.7370       0.00 
107533.9810       0.00 
107534.2250       0.00 
107534.4690       0.00 
107534.7130       0.00 
107534.9570       0.00 
107535.2010       0.00 
107535.4450       0.00 
107535.6890       0.00 
107535.9330       0.00 
107536.1770       0.00 
107536.4210       0.00 
107536.6650       0.00 
107536.9090       0.00 
107537.1530       0.00 
107537.3970       0.00 
107537.6410       0.00 
107537.8850       0.00 
107538.1290       0.00 
107538.3730       0.00 
107538.6170       0.00 
107538.8610       0.00 
107539.1050       0.00 
107539.3490       0.00 
107539.5930       0.00 
107539.8370       0.00 
107540.0810       0.00 
107540.3250       0.00 
107540.5690       0.00 
107540.8130       0.00 
107541.0570       0.00 
107541.3010       0.00 
107541.5450       0.00 
107541.7890       0.00 
107542.0330       0.00 
107542.2770       0.00 
107542.5210       0.00 
107542.7650       0.00 
107543.0090       0.00 
107543.2530       0.00 
107543.4970       0.00 
107543.7410       0.00 
107543.9850       0.00 
107544.2290       0.00 
107544.4730       0.00 
107544.7170       0.00 
107544.9610       0.00 
107545.2050       0.00 
107545.4490       0.00 
107545.6930       0.00 
107545.9370       0.00 
107546.1810       0.00 
107546.4250       0.00 
107546.6690       0.00 
107546.9130       0.00 
107547.1570       0.00 
107547.4010       0.00 
107547.6450       0.00 
107547.8890       0.00 
107548.1330       0.00 
107548.3770       0.00 
107548.6210       0.00 
107548.8650       0.00 
107549.1090       0.00 
107549.3530       0.00 
107549.5970       0.00 
107549.8410       0.00 
107550.0850       0.00 
107550.3290       0.00 
107550.5730       0.00 
107550.8170       0.00 
107551.0610       0.00 
107551.3050       0.00 
107551.5490       0.00 
107551.7930       0.00 
107552.0370       0.00 
107552.2810       0.00 
107552.5250       0.00 
107552.7690       0.00 
107553.0130       0.00 
107553.2570       0.00 
107553.5010       0.00 
107553.7450       0.00 
107553.9890       0.00 
107554.2330       0.00 
107554.4770       0.00 
107554.7210       0.00 
107554.9650       0.00 
107555.2090       0.00 
107555.4530       0.00 
107555.6970       0.00 
107555.9410       0.00 
107556.1850       0.00 
107556.4290       0.00 
107556.6730       0.00 
107556.9170       0.00 
107557.1610       0.00 
107557.4050       0.00 
107557.6490       0.00 
107557.8930       0.00 
107558.1370       0.00 
107558.3810       0.00 
107558.6250       0.00 
107558.8690       0.00 
107559.1130       0.00 
107559.3570       0.00 
107559.6010       0.00 
107559.8450       0.00 
107560.0890       0.00 
107560.3330       0.00 
107560.5770       0.00 
107560.8210       0.00 
107561.0650       0.00 
107561.3090       0.00 
107561.5530       0.00 
107561.7970       0.00 
107562.0410       0.00 
107562.2850       0.00 
107562.5290       0.00 
107562.7730       0.00 
107563.0170       0.00 
107563.2610       0.00 
107563.5050       0.00 
107563.7490       0.00 
107563.9930       0.00 
107564.2370       0.00 
107564.4810       0.00 
107564.7250       0.00 
107564.9690       0.00 
107565.2130       0.00 
107565.4570       0.00 
107565.7010       0.00 
107565.9450       0.00 
107566.1890       0.00 
107566.4330       0.00 
107566.6770       0.00 
107566.9210       0.00 
107567.1650       0.00 
107567.4090       0.00 
107567.6530       0.00 
107567.8970       0.00 
107568.1410       0.00 
107568.3850       0.00 
107568.6290       0.00 
107568.8730       0.00 
107569.1170       0.00 
107569.3610       0.00 
107569.6050       0.00 
107569.8490       0.00 
107570.0930       0.00 
107570.3370       0.00 
107570.5810       0.00 
107570.8250       0.00 
107571.0690       0.00 
107571.3130       0.00 
107571.5570       0.00 
107571.8010       0.00 
107572.0450       0.00 
107572.2890       0.00 
107572.5330       0.00 
107572.7770       0.00 
107573.0210       0.00 
107573.2650       0.00 
107573.5090       0.00 
107573.7530       0.00 
107573.9970       0.00 
107574.2410       0.00 
107574.4850       0.00 
107574.7290       0.00 
