! Freq(MHz)     Int(K)
100703.9147       0.00 
100704.1587       0.00 
100704.4027       0.00 
100704.6467       0.00 
100704.8907       0.00 
100705.1347       0.00 
100705.3787       0.00 
100705.6227       0.00 
100705.8667       0.00 
100706.1107       0.00 
100706.3547       0.00 
100706.5987       0.00 
100706.8427       0.00 
100707.0867       0.00 
100707.3307       0.00 
100707.5747       0.00 
100707.8187       0.00 
100708.0627       0.00 
100708.3067       0.00 
100708.5507       0.01 
100708.7947       0.01 
100709.0387       0.01 
100709.2827       0.02 
100709.5267       0.02 
100709.7707       0.02 
100710.0147       0.02 
100710.2587       0.01 
100710.5027       0.01 
100710.7467       0.01 
100710.9907       0.00 
100711.2347       0.00 
100711.4787       0.00 
100711.7227       0.00 
100711.9667       0.00 
100712.2107       0.00 
100712.4547       0.00 
100712.6987       0.00 
100712.9427       0.00 
100713.1867       0.00 
100713.4307       0.00 
100713.6747       0.00 
100713.9187       0.00 
100714.1627       0.00 
100714.4067       0.00 
100714.6507       0.00 
100714.8947       0.00 
100715.1387       0.00 
100715.3827       0.00 
100715.6267       0.00 
100715.8707       0.00 
100716.1147       0.00 
100716.3587       0.00 
100716.6027       0.00 
100716.8467       0.00 
100717.0907       0.00 
100717.3347       0.00 
100717.5787       0.00 
100717.8227       0.00 
100718.0667       0.00 
100718.3107       0.00 
100718.5547       0.00 
100718.7987       0.00 
100719.0427       0.00 
100719.2867       0.00 
100719.5307       0.00 
100719.7747       0.00 
100720.0187       0.00 
100720.2627       0.00 
100720.5067       0.00 
100720.7507       0.00 
100720.9947       0.00 
100721.2387       0.00 
100721.4827       0.00 
100721.7267       0.00 
100721.9707       0.00 
100722.2147       0.00 
100722.4587       0.00 
100722.7027       0.00 
100722.9467       0.00 
100723.1907       0.00 
100723.4347       0.00 
100723.6787       0.00 
100723.9227       0.00 
100724.1667       0.01 
100724.4107       0.02 
100724.6547       0.02 
100724.8987       0.03 
100725.1427       0.04 
100725.3867       0.04 
100725.6307       0.04 
100725.8747       0.04 
100726.1187       0.03 
100726.3627       0.02 
100726.6067       0.01 
100726.8507       0.01 
100727.0947       0.00 
100727.3387       0.00 
100727.5827       0.00 
100727.8267       0.00 
100728.0707       0.00 
100728.3147       0.00 
100728.5587       0.00 
100728.8027       0.00 
100729.0467       0.00 
100729.2907       0.00 
100729.5347       0.00 
100729.7787       0.00 
100730.0227       0.00 
100730.2667       0.00 
100730.5107       0.00 
100730.7547       0.00 
100730.9987       0.00 
100731.2427       0.00 
100731.4867       0.00 
100731.7307       0.00 
100731.9747       0.00 
100732.2187       0.00 
100732.4627       0.01 
100732.7067       0.02 
100732.9507       0.05 
100733.1947       0.09 
100733.4387       0.17 
100733.6827       0.25 
100733.9267       0.34 
100734.1707       0.39 
100734.4147       0.41 
100734.6587       0.37 
100734.9027       0.32 
100735.1467       0.23 
100735.3907       0.14 
100735.6347       0.08 
100735.8787       0.04 
100736.1227       0.02 
100736.3667       0.01 
100736.6107       0.00 
100736.8547       0.00 
100737.0987       0.00 
100737.3427       0.00 
100737.5867       0.00 
100737.8307       0.00 
100738.0747       0.00 
100738.3187       0.00 
100738.5627       0.00 
100738.8067       0.00 
100739.0507       0.00 
100739.2947       0.00 
100739.5387       0.00 
100739.7827       0.00 
100740.0267       0.00 
100740.2707       0.00 
100740.5147       0.00 
100740.7587       0.00 
100741.0027       0.00 
100741.2467       0.01 
100741.4907       0.01 
100741.7347       0.02 
100741.9787       0.03 
100742.2227       0.04 
100742.4667       0.05 
100742.7107       0.05 
100742.9547       0.04 
100743.1987       0.03 
100743.4427       0.02 
100743.6867       0.01 
