! Freq(MHz)     Int(K)
 88703.9539       0.00 
 88704.1979       0.00 
 88704.4419       0.00 
 88704.6859       0.00 
 88704.9299       0.00 
 88705.1739       0.00 
 88705.4179       0.00 
 88705.6619       0.00 
 88705.9059       0.00 
 88706.1499       0.00 
 88706.3939       0.00 
 88706.6379       0.00 
 88706.8819       0.00 
 88707.1259       0.00 
 88707.3699       0.00 
 88707.6139       0.00 
 88707.8579       0.00 
 88708.1019       0.00 
 88708.3459       0.00 
 88708.5899       0.00 
 88708.8339       0.00 
 88709.0779       0.00 
 88709.3219       0.00 
 88709.5659       0.00 
 88709.8099       0.00 
 88710.0539       0.00 
 88710.2979       0.00 
 88710.5419       0.00 
 88710.7859       0.00 
 88711.0299       0.00 
 88711.2739       0.00 
 88711.5179       0.00 
 88711.7619       0.00 
 88712.0059       0.00 
 88712.2499       0.00 
 88712.4939       0.00 
 88712.7379       0.00 
 88712.9819       0.00 
 88713.2259       0.00 
 88713.4699       0.00 
 88713.7139       0.00 
 88713.9579       0.00 
 88714.2019       0.00 
 88714.4459       0.00 
 88714.6899       0.00 
 88714.9339       0.00 
 88715.1779       0.00 
 88715.4219       0.00 
 88715.6659       0.00 
 88715.9099       0.00 
 88716.1539       0.00 
 88716.3979       0.00 
 88716.6419       0.00 
 88716.8859       0.00 
 88717.1299       0.00 
 88717.3739       0.00 
 88717.6179       0.00 
 88717.8619       0.00 
 88718.1059       0.00 
 88718.3499       0.01 
 88718.5939       0.02 
 88718.8379       0.04 
 88719.0819       0.09 
 88719.3259       0.15 
 88719.5699       0.21 
 88719.8139       0.26 
 88720.0579       0.27 
 88720.3019       0.23 
 88720.5459       0.17 
 88720.7899       0.11 
 88721.0339       0.06 
 88721.2779       0.04 
 88721.5219       0.05 
 88721.7659       0.09 
 88722.0099       0.16 
 88722.2539       0.29 
 88722.4979       0.45 
 88722.7419       0.55 
 88722.9859       0.57 
 88723.2299       0.51 
 88723.4739       0.38 
 88723.7179       0.28 
 88723.9619       0.15 
 88724.2059       0.07 
 88724.4499       0.03 
 88724.6939       0.01 
 88724.9379       0.00 
 88725.1819       0.00 
 88725.4259       0.00 
 88725.6699       0.00 
 88725.9139       0.00 
 88726.1579       0.00 
 88726.4019       0.00 
 88726.6459       0.00 
 88726.8899       0.00 
 88727.1339       0.00 
 88727.3779       0.00 
 88727.6219       0.00 
 88727.8659       0.00 
 88728.1099       0.00 
 88728.3539       0.00 
 88728.5979       0.00 
 88728.8419       0.00 
 88729.0859       0.00 
 88729.3299       0.00 
 88729.5739       0.00 
 88729.8179       0.00 
 88730.0619       0.00 
 88730.3059       0.00 
 88730.5499       0.00 
 88730.7939       0.00 
 88731.0379       0.00 
 88731.2819       0.00 
 88731.5259       0.00 
 88731.7699       0.00 
 88732.0139       0.00 
 88732.2579       0.00 
 88732.5019       0.00 
 88732.7459       0.00 
 88732.9899       0.00 
 88733.2339       0.00 
 88733.4779       0.00 
 88733.7219       0.00 
 88733.9659       0.00 
 88734.2099       0.00 
 88734.4539       0.00 
 88734.6979       0.00 
 88734.9419       0.00 
 88735.1859       0.00 
 88735.4299       0.00 
 88735.6739       0.00 
 88735.9179       0.00 
 88736.1619       0.00 
 88736.4059       0.00 
 88736.6499       0.00 
 88736.8939       0.00 
 88737.1379       0.00 
 88737.3819       0.00 
 88737.6259       0.00 
 88737.8699       0.00 
 88738.1139       0.00 
 88738.3579       0.00 
 88738.6019       0.00 
 88738.8459       0.00 
 88739.0899       0.00 
 88739.3339       0.00 
 88739.5779       0.00 
 88739.8219       0.00 
 88740.0659       0.00 
 88740.3099       0.00 
 88740.5539       0.00 
 88740.7979       0.00 
 88741.0419       0.00 
 88741.2859       0.00 
 88741.5299       0.00 
 88741.7739       0.00 
 88742.0179       0.00 
 88742.2619       0.00 
 88742.5059       0.00 
 88742.7499       0.00 
 88742.9939       0.00 
 88743.2379       0.00 
 88743.4819       0.00 
 88743.7259       0.00 
 88743.9699       0.00 
 88744.2139       0.00 
 88744.4579       0.00 
 88744.7019       0.00 
 88744.9459       0.00 
 88745.1899       0.00 
 88745.4339       0.00 
 88745.6779       0.00 
 88745.9219       0.00 
 88746.1659       0.00 
 88746.4099       0.00 
 88746.6539       0.00 
 88746.8979       0.00 
 88747.1419       0.00 
 88747.3859       0.00 
 88747.6299       0.00 
 88747.8739       0.00 
 88748.1179       0.00 
 88748.3619       0.00 
 88748.6059       0.00 
 88748.8499       0.00 
 88749.0939       0.00 
 88749.3379       0.00 
 88749.5819       0.00 
 88749.8259       0.00 
 88750.0699       0.00 
 88750.3139       0.00 
 88750.5579       0.00 
 88750.8019       0.00 
 88751.0459       0.00 
 88751.2899       0.00 
 88751.5339       0.00 
 88751.7779       0.00 
 88752.0219       0.00 
 88752.2659       0.00 
 88752.5099       0.00 
 88752.7539       0.00 
 88752.9979       0.00 
 88753.2419       0.00 
 88753.4859       0.00 
 88753.7299       0.00 
 88753.9739       0.00 
 88754.2179       0.00 
 88754.4619       0.00 
 88754.7059       0.00 
 88754.9499       0.00 
 88755.1939       0.00 
 88755.4379       0.00 
 88755.6819       0.00 
 88755.9259       0.00 
 88756.1699       0.00 
 88756.4139       0.00 
 88756.6579       0.00 
 88756.9019       0.00 
 88757.1459       0.00 
 88757.3899       0.00 
 88757.6339       0.00 
 88757.8779       0.00 
 88758.1219       0.00 
 88758.3659       0.00 
 88758.6099       0.00 
 88758.8539       0.00 
 88759.0979       0.00 
 88759.3419       0.00 
 88759.5859       0.00 
 88759.8299       0.00 
 88760.0739       0.00 
 88760.3179       0.00 
 88760.5619       0.00 
 88760.8059       0.00 
 88761.0499       0.00 
 88761.2939       0.00 
 88761.5379       0.00 
 88761.7819       0.00 
 88762.0259       0.00 
 88762.2699       0.00 
 88762.5139       0.00 
 88762.7579       0.00 
 88763.0019       0.00 
 88763.2459       0.00 
 88763.4899       0.00 
 88763.7339       0.00 
 88763.9779       0.00 
 88764.2219       0.00 
 88764.4659       0.00 
 88764.7099       0.00 
 88764.9539       0.00 
 88765.1979       0.00 
 88765.4419       0.00 
 88765.6859       0.00 
 88765.9299       0.00 
 88766.1739       0.00 
 88766.4179       0.00 
 88766.6619       0.00 
 88766.9059       0.00 
 88767.1499       0.00 
 88767.3939       0.00 
 88767.6379       0.00 
 88767.8819       0.00 
 88768.1259       0.00 
 88768.3699       0.00 
 88768.6139       0.01 
 88768.8579       0.04 
 88769.1019       0.11 
 88769.3459       0.28 
 88769.5899       0.47 
 88769.8339       0.85 
 88770.0779       1.29 
 88770.3219       1.62 
 88770.5659       1.76 
 88770.8099       1.61 
 88771.0539       1.20 
 88771.2979       0.76 
 88771.5419       0.47 
 88771.7859       0.21 
 88772.0299       0.10 
 88772.2739       0.04 
 88772.5179       0.01 
 88772.7619       0.00 
 88773.0059       0.00 
 88773.2499       0.00 
 88773.4939       0.00 
 88773.7379       0.00 
 88773.9819       0.00 
 88774.2259       0.00 
 88774.4699       0.00 
 88774.7139       0.00 
 88774.9579       0.00 
 88775.2019       0.00 
 88775.4459       0.00 
 88775.6899       0.00 
 88775.9339       0.00 
 88776.1779       0.00 
 88776.4219       0.00 
 88776.6659       0.00 
 88776.9099       0.00 
 88777.1539       0.00 
 88777.3979       0.00 
 88777.6419       0.00 
 88777.8859       0.00 
 88778.1299       0.00 
 88778.3739       0.00 
 88778.6179       0.00 
 88778.8619       0.00 
 88779.1059       0.00 
 88779.3499       0.00 
 88779.5939       0.00 
 88779.8379       0.00 
 88780.0819       0.00 
 88780.3259       0.00 
 88780.5699       0.00 
 88780.8139       0.00 
 88781.0579       0.00 
 88781.3019       0.00 
 88781.5459       0.00 
 88781.7899       0.00 
 88782.0339       0.00 
 88782.2779       0.00 
 88782.5219       0.00 
 88782.7659       0.00 
 88783.0099       0.00 
 88783.2539       0.00 
 88783.4979       0.00 
 88783.7419       0.00 
 88783.9859       0.00 
 88784.2299       0.00 
 88784.4739       0.00 
 88784.7179       0.00 
 88784.9619       0.00 
 88785.2059       0.00 
 88785.4499       0.00 
 88785.6939       0.00 
 88785.9379       0.00 
 88786.1819       0.00 
 88786.4259       0.00 
 88786.6699       0.00 
 88786.9139       0.00 
 88787.1579       0.00 
 88787.4019       0.00 
 88787.6459       0.00 
 88787.8899       0.00 
 88788.1339       0.00 
 88788.3779       0.00 
 88788.6219       0.00 
 88788.8659       0.00 
 88789.1099       0.00 
 88789.3539       0.00 
 88789.5979       0.00 
 88789.8419       0.00 
 88790.0859       0.00 
 88790.3299       0.00 
 88790.5739       0.00 
 88790.8179       0.00 
 88791.0619       0.00 
 88791.3059       0.00 
 88791.5499       0.00 
 88791.7939       0.00 
 88792.0379       0.00 
 88792.2819       0.00 
 88792.5259       0.00 
 88792.7699       0.00 
 88793.0139       0.00 
 88793.2579       0.00 
 88793.5019       0.00 
 88793.7459       0.00 
 88793.9899       0.00 
 88794.2339       0.00 
 88794.4779       0.00 
 88794.7219       0.00 
 88794.9659       0.00 
 88795.2099       0.00 
 88795.4539       0.00 
 88795.6979       0.00 
 88795.9419       0.00 
 88796.1859       0.00 
 88796.4299       0.00 
 88796.6739       0.00 
 88796.9179       0.00 
 88797.1619       0.00 
 88797.4059       0.00 
 88797.6499       0.00 
 88797.8939       0.00 
 88798.1379       0.00 
 88798.3819       0.00 
 88798.6259       0.00 
 88798.8699       0.00 
 88799.1139       0.00 
 88799.3579       0.00 
 88799.6019       0.00 
 88799.8459       0.00 
 88800.0899       0.00 
 88800.3339       0.00 
