! Freq(MHz)     Int(K)
 99000.8379       0.00 
 99001.0819       0.00 
 99001.3259       0.00 
 99001.5699       0.00 
 99001.8139       0.00 
 99002.0579       0.00 
 99002.3019       0.00 
 99002.5459       0.00 
 99002.7899       0.00 
 99003.0339       0.00 
 99003.2779       0.00 
 99003.5219       0.00 
 99003.7659       0.00 
 99004.0099       0.00 
 99004.2539       0.00 
 99004.4979       0.00 
 99004.7419       0.00 
 99004.9859       0.00 
 99005.2299       0.00 
 99005.4739       0.00 
 99005.7179       0.00 
 99005.9619       0.00 
 99006.2059       0.00 
 99006.4499       0.00 
 99006.6939       0.00 
 99006.9379       0.00 
 99007.1819       0.00 
 99007.4259       0.00 
 99007.6699       0.00 
 99007.9139       0.00 
 99008.1579       0.00 
 99008.4019       0.00 
 99008.6459       0.00 
 99008.8899       0.00 
 99009.1339       0.00 
 99009.3779       0.00 
 99009.6219       0.00 
 99009.8659       0.00 
 99010.1099       0.00 
 99010.3539       0.00 
 99010.5979       0.00 
 99010.8419       0.00 
 99011.0859       0.00 
 99011.3299       0.00 
 99011.5739       0.00 
 99011.8179       0.00 
 99012.0619       0.00 
 99012.3059       0.00 
 99012.5499       0.00 
 99012.7939       0.00 
 99013.0379       0.00 
 99013.2819       0.00 
 99013.5259       0.00 
 99013.7699       0.00 
 99014.0139       0.00 
 99014.2579       0.00 
 99014.5019       0.00 
 99014.7459       0.01 
 99014.9899       0.03 
 99015.2339       0.05 
 99015.4779       0.08 
 99015.7219       0.12 
 99015.9659       0.14 
 99016.2099       0.16 
 99016.4539       0.17 
 99016.6979       0.15 
 99016.9419       0.12 
 99017.1859       0.08 
 99017.4299       0.06 
 99017.6739       0.04 
 99017.9179       0.04 
 99018.1619       0.04 
 99018.4059       0.03 
 99018.6499       0.03 
 99018.8939       0.02 
 99019.1379       0.02 
 99019.3819       0.01 
 99019.6259       0.01 
 99019.8699       0.00 
 99020.1139       0.00 
 99020.3579       0.00 
 99020.6019       0.00 
 99020.8459       0.00 
 99021.0899       0.00 
 99021.3339       0.00 
 99021.5779       0.00 
 99021.8219       0.00 
 99022.0659       0.00 
 99022.3099       0.00 
 99022.5539       0.00 
 99022.7979       0.00 
 99023.0419       0.00 
 99023.2859       0.00 
 99023.5299       0.00 
 99023.7739       0.00 
 99024.0179       0.00 
 99024.2619       0.00 
 99024.5059       0.00 
 99024.7499       0.00 
 99024.9939       0.00 
 99025.2379       0.00 
 99025.4819       0.00 
 99025.7259       0.00 
 99025.9699       0.00 
 99026.2139       0.00 
 99026.4579       0.00 
 99026.7019       0.00 
 99026.9459       0.00 
 99027.1899       0.00 
 99027.4339       0.00 
 99027.6779       0.00 
 99027.9219       0.00 
 99028.1659       0.00 
 99028.4099       0.00 
 99028.6539       0.00 
 99028.8979       0.01 
 99029.1419       0.01 
 99029.3859       0.02 
 99029.6299       0.02 
 99029.8739       0.03 
 99030.1179       0.03 
 99030.3619       0.03 
 99030.6059       0.02 
 99030.8499       0.02 
 99031.0939       0.01 
 99031.3379       0.01 
 99031.5819       0.00 
 99031.8259       0.00 
 99032.0699       0.00 
 99032.3139       0.00 
 99032.5579       0.00 
 99032.8019       0.00 
 99033.0459       0.00 
 99033.2899       0.00 
 99033.5339       0.00 
 99033.7779       0.00 
