! Freq(MHz)     Int(K)
 95516.4502       0.00 
 95516.6942       0.00 
 95516.9382       0.00 
 95517.1822       0.00 
 95517.4262       0.00 
 95517.6702       0.00 
 95517.9142       0.00 
 95518.1582       0.00 
 95518.4022       0.00 
 95518.6462       0.00 
 95518.8902       0.00 
 95519.1342       0.00 
 95519.3782       0.00 
 95519.6222       0.00 
 95519.8662       0.00 
 95520.1102       0.00 
 95520.3542       0.00 
 95520.5982       0.00 
 95520.8422       0.00 
 95521.0862       0.00 
 95521.3302       0.00 
 95521.5742       0.00 
 95521.8182       0.00 
 95522.0622       0.00 
 95522.3062       0.00 
 95522.5502       0.00 
 95522.7942       0.00 
 95523.0382       0.00 
 95523.2822       0.00 
 95523.5262       0.00 
 95523.7702       0.00 
 95524.0142       0.00 
 95524.2582       0.00 
 95524.5022       0.00 
 95524.7462       0.00 
 95524.9902       0.00 
 95525.2342       0.00 
 95525.4782       0.00 
 95525.7222       0.00 
 95525.9662       0.00 
 95526.2102       0.00 
 95526.4542       0.00 
 95526.6982       0.00 
 95526.9422       0.00 
 95527.1862       0.00 
 95527.4302       0.00 
 95527.6742       0.00 
 95527.9182       0.00 
 95528.1622       0.00 
 95528.4062       0.00 
 95528.6502       0.00 
 95528.8942       0.00 
 95529.1382       0.00 
 95529.3822       0.00 
 95529.6262       0.00 
 95529.8702       0.00 
 95530.1142       0.00 
 95530.3582       0.00 
 95530.6022       0.00 
 95530.8462       0.00 
 95531.0902       0.00 
 95531.3342       0.00 
 95531.5782       0.00 
 95531.8222       0.00 
 95532.0662       0.00 
 95532.3102       0.00 
 95532.5542       0.00 
 95532.7982       0.00 
 95533.0422       0.00 
 95533.2862       0.00 
 95533.5302       0.00 
 95533.7742       0.00 
 95534.0182       0.00 
 95534.2622       0.00 
 95534.5062       0.00 
 95534.7502       0.00 
 95534.9942       0.00 
 95535.2382       0.00 
 95535.4822       0.00 
 95535.7262       0.00 
 95535.9702       0.00 
 95536.2142       0.00 
 95536.4582       0.00 
 95536.7022       0.00 
 95536.9462       0.00 
 95537.1902       0.00 
 95537.4342       0.00 
 95537.6782       0.00 
 95537.9222       0.00 
 95538.1662       0.00 
 95538.4102       0.00 
 95538.6542       0.00 
 95538.8982       0.00 
 95539.1422       0.00 
 95539.3862       0.00 
 95539.6302       0.00 
 95539.8742       0.00 
 95540.1182       0.00 
 95540.3622       0.00 
 95540.6062       0.00 
 95540.8502       0.00 
 95541.0942       0.00 
 95541.3382       0.00 
 95541.5822       0.00 
 95541.8262       0.00 
 95542.0702       0.00 
 95542.3142       0.00 
 95542.5582       0.00 
 95542.8022       0.00 
 95543.0462       0.00 
 95543.2902       0.00 
 95543.5342       0.00 
 95543.7782       0.00 
 95544.0222       0.00 
 95544.2662       0.00 
 95544.5102       0.00 
 95544.7542       0.00 
 95544.9982       0.00 
 95545.2422       0.00 
 95545.4862       0.00 
 95545.7302       0.00 
 95545.9742       0.00 
 95546.2182       0.00 
 95546.4622       0.00 
 95546.7062       0.00 
 95546.9502       0.00 
 95547.1942       0.00 
 95547.4382       0.00 
 95547.6822       0.00 
 95547.9262       0.00 
 95548.1702       0.00 
 95548.4142       0.00 
 95548.6582       0.00 
 95548.9022       0.00 
 95549.1462       0.00 
 95549.3902       0.00 
 95549.6342       0.00 
 95549.8782       0.00 
 95550.1222       0.00 
 95550.3662       0.00 
 95550.6102       0.00 
 95550.8542       0.00 
 95551.0982       0.00 
 95551.3422       0.00 
 95551.5862       0.00 
 95551.8302       0.00 
 95552.0742       0.00 
 95552.3182       0.00 
 95552.5622       0.00 
 95552.8062       0.00 
 95553.0502       0.00 
 95553.2942       0.00 
 95553.5382       0.00 
 95553.7822       0.00 
 95554.0262       0.00 
 95554.2702       0.00 
 95554.5142       0.00 
 95554.7582       0.00 
 95555.0022       0.00 
 95555.2462       0.00 
 95555.4902       0.00 
 95555.7342       0.00 
 95555.9782       0.00 
 95556.2222       0.00 
 95556.4662       0.00 
 95556.7102       0.00 
 95556.9542       0.00 
 95557.1982       0.00 
 95557.4422       0.00 
 95557.6862       0.00 
 95557.9302       0.00 
 95558.1742       0.00 
 95558.4182       0.00 
 95558.6622       0.00 
 95558.9062       0.00 
 95559.1502       0.00 
 95559.3942       0.00 
 95559.6382       0.00 
 95559.8822       0.00 
 95560.1262       0.00 
 95560.3702       0.00 
 95560.6142       0.00 
 95560.8582       0.00 
 95561.1022       0.00 
 95561.3462       0.00 
 95561.5902       0.00 
 95561.8342       0.00 
 95562.0782       0.00 
 95562.3222       0.00 
 95562.5662       0.00 
 95562.8102       0.00 
 95563.0542       0.00 
 95563.2982       0.00 
 95563.5422       0.00 
 95563.7862       0.00 
 95564.0302       0.00 
 95564.2742       0.00 
 95564.5182       0.00 
 95564.7622       0.00 
 95565.0062       0.00 
 95565.2502       0.00 
 95565.4942       0.00 
 95565.7382       0.00 
 95565.9822       0.00 
 95566.2262       0.00 
 95566.4702       0.00 
 95566.7142       0.00 
 95566.9582       0.00 
 95567.2022       0.00 
 95567.4462       0.00 
 95567.6902       0.00 
