! Freq(MHz)     Int(K)
 87000.8511       0.00 
 87001.0951       0.00 
 87001.3391       0.00 
 87001.5831       0.00 
 87001.8271       0.00 
 87002.0711       0.00 
 87002.3151       0.00 
 87002.5591       0.00 
 87002.8031       0.00 
 87003.0471       0.00 
 87003.2911       0.00 
 87003.5351       0.00 
 87003.7791       0.00 
 87004.0231       0.00 
 87004.2671       0.00 
 87004.5111       0.00 
 87004.7551       0.00 
 87004.9991       0.00 
 87005.2431       0.00 
 87005.4871       0.00 
 87005.7311       0.00 
 87005.9751       0.00 
 87006.2191       0.00 
 87006.4631       0.00 
 87006.7071       0.00 
 87006.9511       0.00 
 87007.1951       0.00 
 87007.4391       0.01 
 87007.6831       0.01 
 87007.9271       0.02 
 87008.1711       0.02 
 87008.4151       0.02 
 87008.6591       0.02 
 87008.9031       0.01 
 87009.1471       0.01 
 87009.3911       0.01 
 87009.6351       0.00 
 87009.8791       0.00 
 87010.1231       0.00 
 87010.3671       0.00 
 87010.6111       0.00 
 87010.8551       0.00 
 87011.0991       0.00 
 87011.3431       0.00 
 87011.5871       0.00 
 87011.8311       0.00 
 87012.0751       0.00 
 87012.3191       0.00 
 87012.5631       0.00 
 87012.8071       0.00 
 87013.0511       0.00 
 87013.2951       0.00 
 87013.5391       0.00 
 87013.7831       0.00 
 87014.0271       0.00 
 87014.2711       0.00 
 87014.5151       0.00 
 87014.7591       0.00 
 87015.0031       0.00 
 87015.2471       0.00 
 87015.4911       0.00 
 87015.7351       0.00 
 87015.9791       0.00 
 87016.2231       0.00 
 87016.4671       0.00 
 87016.7111       0.00 
 87016.9551       0.00 
 87017.1991       0.00 
 87017.4431       0.00 
 87017.6871       0.00 
 87017.9311       0.00 
 87018.1751       0.00 
 87018.4191       0.00 
 87018.6631       0.00 
 87018.9071       0.00 
 87019.1511       0.00 
 87019.3951       0.00 
 87019.6391       0.00 
 87019.8831       0.00 
 87020.1271       0.00 
 87020.3711       0.00 
 87020.6151       0.00 
 87020.8591       0.00 
 87021.1031       0.00 
 87021.3471       0.00 
 87021.5911       0.00 
 87021.8351       0.00 
 87022.0791       0.00 
 87022.3231       0.00 
 87022.5671       0.00 
 87022.8111       0.00 
 87023.0551       0.00 
 87023.2991       0.00 
 87023.5431       0.00 
 87023.7871       0.00 
 87024.0311       0.00 
 87024.2751       0.00 
 87024.5191       0.00 
 87024.7631       0.00 
 87025.0071       0.00 
 87025.2511       0.00 
 87025.4951       0.00 
 87025.7391       0.00 
 87025.9831       0.00 
 87026.2271       0.00 
 87026.4711       0.00 
 87026.7151       0.00 
 87026.9591       0.00 
 87027.2031       0.00 
 87027.4471       0.00 
 87027.6911       0.00 
 87027.9351       0.00 
 87028.1791       0.00 
 87028.4231       0.00 
 87028.6671       0.00 
 87028.9111       0.00 
 87029.1551       0.00 
 87029.3991       0.00 
 87029.6431       0.00 
 87029.8871       0.00 
 87030.1311       0.00 
 87030.3751       0.00 
 87030.6191       0.00 
 87030.8631       0.00 
 87031.1071       0.00 
 87031.3511       0.00 
 87031.5951       0.00 
 87031.8391       0.00 
 87032.0831       0.00 
 87032.3271       0.00 
 87032.5711       0.00 
 87032.8151       0.00 
 87033.0591       0.00 
 87033.3031       0.00 
 87033.5471       0.00 
 87033.7911       0.00 
 87034.0351       0.00 
 87034.2791       0.00 
 87034.5231       0.00 
 87034.7671       0.00 
 87035.0111       0.00 
 87035.2551       0.00 
 87035.4991       0.00 
 87035.7431       0.00 
 87035.9871       0.00 
 87036.2311       0.00 
 87036.4751       0.00 
 87036.7191       0.00 
 87036.9631       0.00 
 87037.2071       0.00 
 87037.4511       0.00 
 87037.6951       0.00 
 87037.9391       0.00 
 87038.1831       0.00 
 87038.4271       0.00 
 87038.6711       0.00 
 87038.9151       0.00 
 87039.1591       0.00 
 87039.4031       0.00 
 87039.6471       0.00 
 87039.8911       0.00 
 87040.1351       0.00 
 87040.3791       0.00 
 87040.6231       0.00 
 87040.8671       0.00 
 87041.1111       0.00 
 87041.3551       0.00 
 87041.5991       0.00 
 87041.8431       0.00 
 87042.0871       0.00 
 87042.3311       0.00 
 87042.5751       0.00 
 87042.8191       0.00 
 87043.0631       0.00 
 87043.3071       0.00 
 87043.5511       0.00 
 87043.7951       0.00 
 87044.0391       0.00 
 87044.2831       0.00 
 87044.5271       0.00 
 87044.7711       0.00 
 87045.0151       0.00 
 87045.2591       0.00 
 87045.5031       0.00 
 87045.7471       0.00 
 87045.9911       0.00 
 87046.2351       0.00 
 87046.4791       0.00 
 87046.7231       0.00 
 87046.9671       0.00 
 87047.2111       0.00 
 87047.4551       0.00 
 87047.6991       0.00 
 87047.9431       0.00 
 87048.1871       0.00 
 87048.4311       0.00 
 87048.6751       0.00 
 87048.9191       0.00 
 87049.1631       0.00 
 87049.4071       0.00 
 87049.6511       0.00 
 87049.8951       0.00 
 87050.1391       0.00 
 87050.3831       0.00 
 87050.6271       0.00 
 87050.8711       0.00 
 87051.1151       0.00 
 87051.3591       0.00 
 87051.6031       0.00 
