! Freq(MHz)     Int(K)
 97284.2981       0.00 
 97284.5421       0.00 
 97284.7861       0.00 
 97285.0301       0.00 
 97285.2741       0.00 
 97285.5181       0.00 
 97285.7621       0.00 
 97286.0061       0.00 
 97286.2501       0.00 
 97286.4941       0.00 
 97286.7381       0.00 
 97286.9821       0.00 
 97287.2261       0.00 
 97287.4701       0.00 
 97287.7141       0.00 
 97287.9581       0.00 
 97288.2021       0.00 
 97288.4461       0.00 
 97288.6901       0.00 
 97288.9341       0.00 
 97289.1781       0.00 
 97289.4221       0.00 
 97289.6661       0.00 
 97289.9101       0.00 
 97290.1541       0.00 
 97290.3981       0.00 
 97290.6421       0.00 
 97290.8861       0.00 
 97291.1301       0.00 
 97291.3741       0.00 
 97291.6181       0.00 
 97291.8621       0.00 
 97292.1061       0.00 
 97292.3501       0.00 
 97292.5941       0.00 
 97292.8381       0.00 
 97293.0821       0.00 
 97293.3261       0.00 
 97293.5701       0.00 
 97293.8141       0.00 
 97294.0581       0.00 
 97294.3021       0.00 
 97294.5461       0.00 
 97294.7901       0.00 
 97295.0341       0.00 
 97295.2781       0.00 
 97295.5221       0.00 
 97295.7661       0.00 
 97296.0101       0.00 
 97296.2541       0.00 
 97296.4981       0.00 
 97296.7421       0.00 
 97296.9861       0.00 
 97297.2301       0.00 
 97297.4741       0.00 
 97297.7181       0.00 
 97297.9621       0.00 
 97298.2061       0.00 
 97298.4501       0.00 
 97298.6941       0.00 
 97298.9381       0.00 
 97299.1821       0.00 
 97299.4261       0.00 
 97299.6701       0.00 
 97299.9141       0.00 
 97300.1581       0.00 
 97300.4021       0.00 
 97300.6461       0.00 
 97300.8901       0.00 
 97301.1341       0.00 
 97301.3781       0.00 
 97301.6221       0.00 
 97301.8661       0.00 
 97302.1101       0.00 
 97302.3541       0.01 
 97302.5981       0.02 
 97302.8421       0.06 
 97303.0861       0.12 
 97303.3301       0.24 
 97303.5741       0.42 
 97303.8181       0.57 
 97304.0621       0.72 
 97304.3061       0.79 
 97304.5501       0.75 
 97304.7941       0.60 
 97305.0381       0.45 
 97305.2821       0.28 
 97305.5261       0.18 
 97305.7701       0.08 
 97306.0141       0.04 
 97306.2581       0.01 
