! Freq(MHz)     Int(K)
 90407.1418       0.02 
 90407.3858       0.02 
 90407.6298       0.02 
 90407.8738       0.02 
 90408.1178       0.02 
 90408.3618       0.01 
 90408.6058       0.01 
 90408.8498       0.00 
 90409.0938       0.00 
 90409.3378       0.00 
 90409.5818       0.00 
 90409.8258       0.00 
 90410.0698       0.00 
 90410.3138       0.00 
 90410.5578       0.00 
 90410.8018       0.00 
 90411.0458       0.00 
 90411.2898       0.00 
 90411.5338       0.00 
 90411.7778       0.00 
 90412.0218       0.00 
 90412.2658       0.00 
 90412.5098       0.00 
 90412.7538       0.00 
 90412.9978       0.00 
 90413.2418       0.00 
 90413.4858       0.00 
 90413.7298       0.00 
 90413.9738       0.00 
 90414.2178       0.00 
 90414.4618       0.00 
 90414.7058       0.00 
 90414.9498       0.00 
 90415.1938       0.00 
 90415.4378       0.00 
 90415.6818       0.00 
 90415.9258       0.00 
 90416.1698       0.00 
 90416.4138       0.00 
 90416.6578       0.00 
 90416.9018       0.00 
 90417.1458       0.00 
 90417.3898       0.00 
 90417.6338       0.00 
 90417.8778       0.00 
 90418.1218       0.00 
 90418.3658       0.00 
 90418.6098       0.00 
 90418.8538       0.00 
 90419.0978       0.00 
 90419.3418       0.00 
 90419.5858       0.00 
 90419.8298       0.00 
 90420.0738       0.00 
 90420.3178       0.00 
 90420.5618       0.00 
 90420.8058       0.00 
 90421.0498       0.01 
 90421.2938       0.01 
 90421.5378       0.01 
 90421.7818       0.01 
 90422.0258       0.01 
 90422.2698       0.01 
 90422.5138       0.00 
 90422.7578       0.00 
 90423.0018       0.00 
 90423.2458       0.00 
 90423.4898       0.00 
 90423.7338       0.00 
 90423.9778       0.00 
 90424.2218       0.00 
 90424.4658       0.00 
 90424.7098       0.01 
 90424.9538       0.01 
 90425.1978       0.02 
 90425.4418       0.02 
 90425.6858       0.02 
 90425.9298       0.02 
 90426.1738       0.02 
 90426.4178       0.01 
 90426.6618       0.01 
 90426.9058       0.00 
 90427.1498       0.00 
 90427.3938       0.00 
 90427.6378       0.00 
 90427.8818       0.00 
 90428.1258       0.00 
 90428.3698       0.00 
 90428.6138       0.00 
 90428.8578       0.00 
 90429.1018       0.00 
 90429.3458       0.00 
 90429.5898       0.00 
 90429.8338       0.00 
 90430.0778       0.00 
 90430.3218       0.00 
 90430.5658       0.00 
 90430.8098       0.00 
 90431.0538       0.00 
 90431.2978       0.00 
 90431.5418       0.00 
 90431.7858       0.00 
 90432.0298       0.00 
 90432.2738       0.00 
 90432.5178       0.00 
 90432.7618       0.00 
 90433.0058       0.00 
 90433.2498       0.01 
 90433.4938       0.01 
 90433.7378       0.02 
 90433.9818       0.03 
 90434.2258       0.04 
 90434.4698       0.05 
 90434.7138       0.05 
 90434.9578       0.05 
 90435.2018       0.04 
 90435.4458       0.02 
 90435.6898       0.01 
 90435.9338       0.01 
 90436.1778       0.00 
