! Freq(MHz)     Int(K)
109219.6138       0.00 
109219.8578       0.00 
109220.1018       0.00 
109220.3458       0.00 
109220.5898       0.00 
109220.8338       0.00 
109221.0778       0.00 
109221.3218       0.00 
109221.5658       0.00 
109221.8098       0.00 
109222.0538       0.00 
109222.2978       0.00 
109222.5418       0.00 
109222.7858       0.00 
109223.0298       0.00 
109223.2738       0.00 
109223.5178       0.00 
109223.7618       0.00 
109224.0058       0.00 
109224.2498       0.00 
109224.4938       0.00 
109224.7378       0.00 
109224.9818       0.00 
109225.2258       0.00 
109225.4698       0.00 
109225.7138       0.00 
109225.9578       0.00 
109226.2018       0.00 
109226.4458       0.00 
109226.6898       0.00 
109226.9338       0.00 
109227.1778       0.00 
109227.4218       0.00 
109227.6658       0.00 
109227.9098       0.00 
109228.1538       0.00 
109228.3978       0.00 
109228.6418       0.00 
109228.8858       0.00 
109229.1298       0.00 
109229.3738       0.00 
109229.6178       0.00 
109229.8618       0.00 
109230.1058       0.00 
109230.3498       0.00 
109230.5938       0.00 
109230.8378       0.00 
109231.0818       0.00 
109231.3258       0.00 
109231.5698       0.00 
109231.8138       0.00 
109232.0578       0.00 
109232.3018       0.00 
109232.5458       0.00 
109232.7898       0.00 
109233.0338       0.00 
109233.2778       0.00 
109233.5218       0.00 
109233.7658       0.00 
109234.0098       0.00 
109234.2538       0.00 
109234.4978       0.00 
109234.7418       0.00 
109234.9858       0.00 
109235.2298       0.00 
109235.4738       0.00 
109235.7178       0.00 
109235.9618       0.00 
109236.2058       0.00 
109236.4498       0.00 
109236.6938       0.00 
109236.9378       0.00 
109237.1818       0.00 
109237.4258       0.00 
109237.6698       0.00 
109237.9138       0.00 
109238.1578       0.00 
109238.4018       0.00 
109238.6458       0.00 
109238.8898       0.00 
109239.1338       0.00 
109239.3778       0.00 
109239.6218       0.00 
109239.8658       0.00 
109240.1098       0.00 
109240.3538       0.00 
109240.5978       0.00 
109240.8418       0.00 
109241.0858       0.00 
109241.3298       0.00 
109241.5738       0.00 
109241.8178       0.00 
109242.0618       0.00 
109242.3058       0.00 
109242.5498       0.00 
109242.7938       0.00 
109243.0378       0.00 
109243.2818       0.00 
109243.5258       0.00 
109243.7698       0.00 
109244.0138       0.00 
109244.2578       0.00 
109244.5018       0.00 
109244.7458       0.00 
109244.9898       0.00 
109245.2338       0.00 
109245.4778       0.00 
109245.7218       0.00 
109245.9658       0.00 
109246.2098       0.00 
109246.4538       0.00 
109246.6978       0.00 
109246.9418       0.00 
109247.1858       0.00 
109247.4298       0.00 
109247.6738       0.00 
109247.9178       0.00 
109248.1618       0.00 
109248.4058       0.00 
109248.6498       0.00 
109248.8938       0.00 
109249.1378       0.00 
109249.3818       0.00 
109249.6258       0.00 
109249.8698       0.00 
109250.1138       0.00 
109250.3578       0.00 
109250.6018       0.00 
109250.8458       0.00 
109251.0898       0.00 
109251.3338       0.00 
109251.5778       0.00 
109251.8218       0.00 
109252.0658       0.00 
109252.3098       0.00 
109252.5538       0.00 
109252.7978       0.00 
109253.0418       0.00 
109253.2858       0.00 
109253.5298       0.00 
109253.7738       0.00 
109254.0178       0.00 
109254.2618       0.00 
109254.5058       0.00 
109254.7498       0.00 
109254.9938       0.00 
109255.2378       0.00 
109255.4818       0.00 
109255.7258       0.00 
109255.9698       0.00 
109256.2138       0.00 
109256.4578       0.01 
109256.7018       0.01 
109256.9458       0.03 
109257.1898       0.05 
109257.4338       0.10 
109257.6778       0.15 
109257.9218       0.21 
109258.1658       0.27 
109258.4098       0.30 
109258.6538       0.30 
109258.8978       0.27 
109259.1418       0.22 
109259.3858       0.16 
109259.6298       0.11 
109259.8738       0.06 
109260.1178       0.03 
109260.3618       0.01 
109260.6058       0.01 
109260.8498       0.00 
109261.0938       0.00 
109261.3378       0.00 
109261.5818       0.00 
109261.8258       0.00 
109262.0698       0.00 
109262.3138       0.00 
109262.5578       0.00 
109262.8018       0.00 
109263.0458       0.00 
109263.2898       0.00 
109263.5338       0.00 
109263.7778       0.00 
109264.0218       0.00 
109264.2658       0.00 
109264.5098       0.00 
109264.7538       0.00 
109264.9978       0.00 
109265.2418       0.00 
109265.4858       0.00 
109265.7298       0.00 
109265.9738       0.00 
109266.2178       0.00 
109266.4618       0.00 
